item_id,name,category,package_tier,event_types,theme_ids,environments,width_cm,depth_cm,height_cm,required_clearance_cm,quantity_min,quantity_max,unit,acquisition,price_min_pkr,price_max_pkr,pricing_evidence,market_source_id,safety_profile_id,photo_candidate_id,placement_zone,color_tags,material_tags,status
backdrop-round-arch,Round metal arch with removable fabric,backdrop,balanced,wedding;engagement;birthday;bridal-shower;baby-shower;anniversary,rustic-boho;modern-minimalist;classic-elegant;vintage-garden;floral-romantic;enchanted-forest,indoor;outdoor;semi_outdoor,200,55,220,110,1,1,each,rental_or_purchase,12000,28000,planning_range_from_direct_frame_and_package_sources,market-arch-ubuy,safety-freestanding-tall,photo-floral-arch,focal_wall,ivory;blush;green;gold,powder-coated-metal;fabric;artificial-florals,catalog_ready
backdrop-chiara-panels,Three-piece curved panel backdrop,backdrop,balanced,birthday;kids-birthday;baby-shower;graduation;engagement;product-launch,pastel-dreamy;modern-minimalist;whimsical-kids;rainbow-bright-pop;baby-safari;candy-pop,indoor;semi_outdoor,260,65,220,110,1,1,set,rental,18000,38000,planning_range_anchored_to_small_and_stage_packages,market-birthday-lahoreblooms,safety-freestanding-tall,photo-balloon-room,focal_wall,pastel;white;custom,painted-board;weighted-metal-base;vinyl,catalog_ready
backdrop-balloon-garland,Balloon garland with compact photo wall,backdrop,essential,birthday;kids-birthday;baby-shower;graduation;school-event;team-celebration,whimsical-kids;pastel-dreamy;rainbow-bright-pop;baby-safari;candy-pop;sports-hobby,indoor;semi_outdoor,220,55,210,110,1,1,set,rental_or_purchase,7000,16000,planning_range_from_direct_small_event_package,market-birthday-lahoreblooms,safety-freestanding-tall,photo-balloon-arch,focal_wall,custom;pastel;bright,latex-balloons;board;weighted-base,catalog_ready
backdrop-floral-arch,Full artificial floral ceremony arch,backdrop,statement,wedding;nikah;walima;engagement;anniversary;bridal-shower,floral-romantic;classic-elegant;vintage-garden;south-asian-wedding;glam-gold,indoor;outdoor;semi_outdoor,280,90,250,120,1,1,each,rental,35000,85000,direct_and_adjacent_vendor_package_range,market-floral-kalee,safety-freestanding-tall,photo-floral-arch,focal_wall,ivory;blush;maroon;green,metal;artificial-florals;fabric;weighted-base,catalog_ready
backdrop-south-asian-stage,Layered South Asian stage with panels and drape,backdrop,statement,wedding;nikah;walima;mehndi;mayun;reception;sangeet,south-asian-wedding;south-asian-mehndi;classic-elegant;glam-gold,indoor;outdoor;semi_outdoor,500,180,300,140,1,1,package,rental,120000,250000,direct_vendor_starting_price_plus_planning_upper_range,market-stage-flowerbouquet,safety-freestanding-tall,photo-wedding-backdrop,focal_wall,ivory;gold;maroon;yellow;pink,modular-board;metal;fabric;artificial-florals,catalog_ready
backdrop-brand-wall,Modular clean brand or name wall,backdrop,balanced,corporate;product-launch;conference;store-opening;graduation;birthday,corporate-brand;modern-minimalist;industrial;art-deco;glam-gold,indoor;semi_outdoor,300,70,240,110,1,1,set,rental,25000,65000,planning_range_anchored_to_stage_and_signage_sources,market-signs-framers,safety-freestanding-tall,photo-wedding-backdrop,focal_wall,white;black;brand-color,modular-board;vinyl;metal;acrylic,catalog_ready
floor-floral-pedestal-pair,Artificial floral pedestal pair,floor-arrangement,balanced,wedding;engagement;anniversary;birthday;bridal-shower;baby-shower,floral-romantic;classic-elegant;glam-gold;south-asian-wedding;vintage-garden,indoor;outdoor;semi_outdoor,55,55,150,110,2,4,pair,rental,9000,24000,planning_range_from_floral_component_and_stage_sources,market-floral-kalee,safety-floor-cluster,photo-floral-table,focal_sides,ivory;blush;green;maroon,metal;artificial-florals;weighted-base,catalog_ready
floor-balloon-clusters,Weighted balloon floor clusters,floor-arrangement,essential,birthday;kids-birthday;baby-shower;graduation;school-event,whimsical-kids;pastel-dreamy;rainbow-bright-pop;baby-safari;candy-pop,indoor;semi_outdoor,65,65,140,110,2,6,cluster,rental_or_purchase,2500,8000,planning_range_from_small_event_package,market-birthday-lahoreblooms,safety-floor-cluster,photo-balloon-room,focal_sides,custom;pastel;bright,latex-balloons;weighted-base,catalog_ready
floor-pampas-pair,Pampas-look dried arrangement pair,floor-arrangement,balanced,wedding;engagement;birthday;bridal-shower;baby-shower,rustic-boho;farmhouse;beach-coastal;vintage-garden;modern-minimalist,indoor;semi_outdoor,60,60,130,110,2,4,pair,rental,7000,18000,planning_range_from_artificial_floral_market,market-flowers-daraz,safety-floor-cluster,photo-floral-table,focal_sides,beige;cream;brown,dried-look-stems;ceramic;weighted-base,catalog_ready
floor-marigold-clusters,Marigold-look floral and brass-look floor clusters,floor-arrangement,balanced,mehndi;mayun;wedding;engagement;birthday,south-asian-mehndi;south-asian-wedding;arabian-majlis,indoor;outdoor;semi_outdoor,70,70,110,110,2,6,cluster,rental,8000,22000,planning_range_from_floral_component_and_package_sources,market-flowers-daraz,safety-floor-cluster,photo-floral-table,focal_sides,yellow;orange;pink;green,artificial-florals;brass-look-metal;weighted-base,catalog_ready
floor-greenery-planters,Reusable greenery planter set,floor-arrangement,essential,wedding;birthday;corporate;baby-shower;family-party,all,indoor;outdoor;semi_outdoor,45,45,95,110,2,8,set,rental,4000,14000,planning_range_from_flower_component_market,market-flowers-daraz,safety-floor-cluster,photo-floral-arch,perimeter,green;neutral,artificial-greenery;planter;weighted-base,catalog_ready
floor-led-cylinder-set,Floor-safe LED candle cylinder set,floor-arrangement,balanced,wedding;engagement;anniversary;formal-dinner;corporate-gala,classic-elegant;floral-romantic;glam-gold;dark-moody;celestial-night;winter-wonderland,indoor;semi_outdoor,30,30,75,110,4,12,set,rental_or_purchase,4500,14000,planning_range_from_lighting_market,market-fairy-daraz,safety-floor-cluster,photo-rice-lights,focal_sides,warm-white;clear,acrylic;glass-look-cylinder;battery-led,catalog_ready
lighting-micro-string,Battery micro string light set,lighting,essential,wedding;birthday;engagement;baby-shower;family-party;dinner-party,all,indoor;semi_outdoor,500,2,2,110,2,10,string,purchase,500,3000,category_observation_scaled_by_quantity,market-fairy-daraz,safety-temporary-electric,photo-rice-lights,backdrop_or_table,warm-white;multicolor,copper-wire;low-heat-led;battery-pack,catalog_ready
lighting-curtain,Fairy-light curtain for focal wall,lighting,balanced,wedding;birthday;engagement;anniversary;graduation;holiday-party,pastel-dreamy;floral-romantic;classic-elegant;winter-wonderland;celestial-night;enchanted-forest,indoor;semi_outdoor,300,8,250,110,1,2,set,rental_or_purchase,2500,9000,planning_range_from_string_light_market,market-fairy-daraz,safety-temporary-electric,photo-rice-lights,focal_wall,warm-white;cool-white,low-heat-led;insulated-wire;controller,catalog_ready
lighting-uplight-set,Static LED uplight set,lighting,statement,wedding;corporate;product-launch;graduation;birthday;reception,glam-gold;art-deco;corporate-brand;dark-moody;south-asian-wedding;celestial-night,indoor;semi_outdoor,20,20,25,110,4,12,set,rental,8000,30000,planning_range_anchored_to_vendor_event_packages,market-stage-flowerbouquet,safety-temporary-electric,photo-rice-lights,perimeter,warm-white;amber;brand-color,low-heat-led;metal;power-cable,catalog_ready
lighting-led-candles,Battery LED pillar candle set,lighting,essential,wedding;engagement;anniversary;formal-dinner;ramadan-iftar;family-gathering,classic-elegant;floral-romantic;dark-moody;arabian-majlis;vintage-garden;winter-wonderland,indoor;semi_outdoor,8,8,18,0,6,24,set,purchase_or_rental,1800,6500,planning_range_from_led_lighting_market,market-fairy-daraz,safety-tabletop,photo-rice-lights,table_or_perimeter,warm-white,wax-look-shell;battery-led,catalog_ready
lighting-festoon,Weather-rated festoon string,lighting,balanced,wedding;birthday;corporate;summer-party;family-party;mehndi,rustic-boho;industrial;farmhouse;tropical;south-asian-mehndi;beach-coastal,indoor;outdoor;semi_outdoor,1000,6,6,110,1,5,string,rental_or_purchase,3500,14000,planning_range_from_outdoor_string_market,market-outdoor-lights-daraz,safety-temporary-electric,photo-rice-lights,approved_overhead,warm-white,weather-rated-cable;low-heat-led,catalog_ready
lighting-star-moon,Star and moon micro-light set,lighting,balanced,birthday;kids-birthday;engagement;graduation;baby-shower,celestial-night;pastel-dreamy;whimsical-kids;baby-safari,indoor;semi_outdoor,250,5,180,110,1,3,set,purchase_or_rental,1800,7000,planning_range_from_string_light_market,market-fairy-daraz,safety-temporary-electric,photo-rice-lights,focal_wall,warm-white;gold;navy,low-heat-led;acrylic;insulated-wire,catalog_ready
table-neutral-runner,Neutral fabric runner and napkin set,table-setting,essential,wedding;birthday;engagement;corporate;formal-dinner;baby-shower,all,indoor;outdoor;semi_outdoor,275,35,1,0,1,20,table,purchase_or_rental,1200,4500,planning_range_from_retail_runner_observation,market-runner-hutch,safety-tabletop,photo-table-modern,guest_tables,ivory;beige;blush;brand-color,polyester;cotton-look-fabric,catalog_ready
table-low-floral,Low artificial floral centerpiece,table-setting,balanced,wedding;engagement;birthday;anniversary;bridal-shower;baby-shower,floral-romantic;classic-elegant;vintage-garden;south-asian-wedding;pastel-dreamy,indoor;outdoor;semi_outdoor,45,45,30,0,1,20,each,rental,2500,7500,planning_range_from_artificial_flower_market,market-flowers-daraz,safety-tabletop,photo-floral-table,guest_tables,ivory;blush;green;custom,artificial-florals;low-vase,catalog_ready
table-greenery-garland,Reusable greenery table garland,table-setting,essential,wedding;birthday;corporate;family-party;baby-shower,rustic-boho;farmhouse;enchanted-forest;tropical;beach-coastal;modern-minimalist,indoor;outdoor;semi_outdoor,180,25,15,0,1,20,table,purchase_or_rental,1500,5500,planning_range_from_flower_component_market,market-flowers-daraz,safety-tabletop,photo-reception-table,guest_tables,green;white,artificial-greenery;fabric-stem,catalog_ready
table-charger-setting,Charger plate and napkin styling set,table-setting,statement,wedding;engagement;anniversary;corporate-gala;formal-dinner,classic-elegant;glam-gold;art-deco;south-asian-wedding;modern-minimalist,indoor;semi_outdoor,35,35,5,0,6,200,place_setting,rental,900,2500,planning_range_from_tableware_and_runner_market,market-runner-hutch,safety-tabletop,photo-table-setting,guest_tables,gold;clear;black;ivory,acrylic;glass-look;fabric,catalog_ready
table-mehndi-textile,Mehndi textile and brass-look tray table set,table-setting,balanced,mehndi;mayun;wedding;engagement;family-party,south-asian-mehndi;arabian-majlis;south-asian-wedding,indoor;outdoor;semi_outdoor,90,90,35,0,1,12,table,rental,3500,11000,planning_range_from_small_event_package,market-birthday-lahoreblooms,safety-tabletop,photo-table-cc0,guest_or_low_tables,yellow;pink;orange;green,printed-fabric;brass-look-tray;wood,catalog_ready
table-dessert-pedestals,Dessert and cake pedestal set,table-setting,balanced,birthday;wedding;engagement;baby-shower;graduation;product-launch,all,indoor;semi_outdoor,80,50,45,0,1,4,set,rental,3000,10000,planning_range_anchored_to_small_event_package,market-birthday-lahoreblooms,safety-tabletop,photo-reception-table,cake_table,white;clear;gold;pastel,food-safe-acrylic;metal;wood,catalog_ready
