scenario_id,num__guest_count,num__room_length_m,num__room_width_m,num__room_area_m2,num__budget_pkr,num__budget_per_guest_pkr,num__space_per_guest_m2,num__budget_per_area_pkr,cat__event_type__anniversary,cat__event_type__baby_shower,cat__event_type__birthday,cat__event_type__graduation,cat__event_type__wedding,cat__event_type__unknown,cat__venue_type__hall,cat__venue_type__home,cat__venue_type__outdoor,cat__venue_type__restaurant,cat__venue_type__unknown,cat__age_group__adult,cat__age_group__child,cat__age_group__mixed,cat__age_group__teenager,cat__age_group__unknown,cat__time_of_day__day,cat__time_of_day__night,cat__time_of_day__unknown,cat__preferred_color__blue,cat__preferred_color__gold,cat__preferred_color__green,cat__preferred_color__mixed,cat__preferred_color__pink,cat__preferred_color__purple,cat__preferred_color__red,cat__preferred_color__white,cat__preferred_color__unknown,cat__preferred_style__colourful,cat__preferred_style__elegant,cat__preferred_style__minimal,cat__preferred_style__rustic,cat__preferred_style__traditional,cat__preferred_style__unknown,target__theme,target__cake,target__decor,target__layout
BSAR0001,2.2857300203,2.16405707351,1.71858433086,2.19051102587,0.344722378403,-0.821102407874,-0.522847488411,-0.851961747418,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1
BSAR0002,2.13732957413,2.44050389033,2.18439547309,2.79832951182,4.70215343771,1.07089269231,0.135857743906,1.08800798672,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,2,2,1
BSAR0003,0.1091901431,0.250194495484,-0.268876542654,-0.181491899228,-0.262380375926,-0.566801991183,-1.01875254186,-0.281622504735,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,3
BSAR0004,0.389502096982,0.547906452065,0.10377237113,0.133458023703,0.416530231066,-0.0971938883603,-0.860990131039,0.355628407796,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,3
BSAR0005,-0.995568733964,-0.89812305133,-1.23155290326,-0.897392831056,-0.709547458417,0.700461751994,1.72902161165,-0.0265116788119,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2
BSAR0006,-0.863657226255,-0.940653330841,-0.796795837181,-0.788148208342,-0.641003599057,0.168408769073,0.642625919417,-0.115739156941,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,2
BSAR0008,-1.06152448782,-1.40848640547,-1.29366105556,-1.02058357582,-0.807467257502,0.677009602454,1.57528637218,0.00362948682038,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,2
BSAR0009,-0.764723595473,-0.876857911574,-0.610471380289,-0.716093244424,-0.735659404839,-0.502096662936,0.199553075414,-0.657038553195,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
BSAR0010,-0.0721881800001,0.250194495484,0.383259056468,0.133458023703,0.736401574745,0.834958416821,0.182625967599,0.797183137645,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,4,2,1
BSAR0011,-0.6163231493,-0.919388191085,-0.921012141775,-0.816040452439,-0.683435511994,-0.59647037313,-1.22855156667,-0.207676575473,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0
BSAR0012,-0.583345272373,-0.451555116458,-0.734687684883,-0.620794743759,-0.301548295561,0.255153466766,-0.414961727945,0.522094976441,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,1,1,0
BSAR0013,-0.748234657009,-0.536615675481,-0.952066217924,-0.721904128611,-0.0893887308754,1.53767523494,0.0284441479157,1.70136230469,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,1
BSAR0014,-0.00623242614548,0.143868796705,0.0106101426841,-0.0931664595864,-0.187308529961,-0.39839860413,-0.571313082598,-0.258267836509,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,3
BSAR0015,0.323546343127,-0.111312880365,0.476421284914,-0.00948972729478,-0.432108027675,-0.840316217135,-1.02484441707,-0.725734348926,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,0,3
BSAR0017,-0.781212533937,-1.13203958864,-0.796795837181,-0.843932696536,-0.725867424931,-0.433435550429,-0.55855875162,-0.312368317964,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,2
BSAR0019,1.39532734326,1.86634511693,0.942232427143,1.37466288603,2.82535728857,0.73606381033,-0.451342294168,1.18195655471,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1
BSAR0020,-0.896635103182,-1.17456986816,-1.23155290326,-0.9578260266,-0.784619304382,-0.351211749033,-0.571313082598,-0.193571638641,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
BSAR0021,0.0597233277091,-0.515350535725,0.10377237113,-0.348845363811,-0.337452221892,-0.620487634707,-1.31331786412,-0.195918132864,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,4,3
BSAR0023,0.241101650809,0.250194495484,0.0416642188328,-0.0315710872051,0.315346438678,-0.0658301703017,-0.933366443489,0.462078409996,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,4,1,3
BSAR0024,-0.352500133882,-0.685471653772,-0.268876542654,-0.544091072491,-0.281964335743,-0.158225988366,-0.967876314688,0.343849537029,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,3,4,0
BSAR0025,-0.583345272373,-0.366494557434,-0.330984694951,-0.444143864476,-0.738923398142,-0.768264432406,0.427119583731,-0.982990269442,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
BSAR0026,-0.368989072346,-0.068782600853,0.10377237113,-0.146626594106,0.47854610382,1.18278487565,0.482741270371,0.960063241319,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,2,1
BSAR0027,-0.748234657009,-0.2389037189,-0.299930618802,-0.383710668932,-0.693227491902,-0.39839860413,2.23767647804,-0.924993253895,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,2
BSAR0028,1.34586052787,2.03646623497,2.27755770153,2.54148843076,0.312082445375,-0.635745659708,0.942376360352,-0.937256980753,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,2,0,3
