candidate_id,title,categories,commons_file_page,creator,license_short_name,license_url,attribution_text,share_alike,commercial_reuse,derivatives_allowed,rights_status,checked_at,usage_role
photo-balloon-arch,Balloon arch,backdrop;floor-arrangement,https://commons.wikimedia.org/wiki/File:Balloon_arch.jpg,Ishmael Orendain,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,Balloon arch by Ishmael Orendain / CC BY 2.0,no,yes,yes,page_verified,2026-08-25,Inspiration candidate; API metadata and file hash must be rechecked before download
photo-balloon-room,Balloon arch in room front,backdrop;floor-arrangement,https://commons.wikimedia.org/wiki/File:Balloon_arch_in_room_front.jpg,முருகவேல்.வீ,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Balloon arch in room front by முருகவேல்.வீ / CC BY-SA 4.0,yes,yes,yes,page_verified,2026-08-25,Inspiration candidate; derivative output must satisfy ShareAlike
photo-floral-arch,Floral decor,backdrop;floor-arrangement,https://commons.wikimedia.org/wiki/File:Floral_decor.jpg,FB Celebrations,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Floral decor by FB Celebrations / CC BY-SA 4.0,yes,yes,yes,page_verified,2026-08-25,Inspiration candidate; derivative output must satisfy ShareAlike
photo-wedding-backdrop,Wedding backdrop,backdrop,https://commons.wikimedia.org/wiki/File:Wedding_backdrop.jpg,Partycanadainc,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Wedding backdrop by Partycanadainc / CC BY-SA 3.0,yes,yes,yes,page_verified,2026-08-25,Low-resolution inspiration candidate; not a product image
photo-floral-table,Flower table decoration Wedding in Budapest,floor-arrangement;table-setting,https://commons.wikimedia.org/wiki/File:Flower_table_decoration_Wedding_in_Budapest.jpg,Yelkrokoyade,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Flower table decoration Wedding in Budapest by Yelkrokoyade / CC BY-SA 3.0,yes,yes,yes,page_verified,2026-08-25,Inspiration candidate; derivative output must satisfy ShareAlike
photo-reception-table,Reception table setting,table-setting;signage,https://commons.wikimedia.org/wiki/File:Reception_table_setting.jpg,Robert Bejil,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,Reception table setting by Robert Bejil / CC BY 2.0,no,yes,yes,page_verified,2026-08-25,Inspiration candidate; not a product image
photo-table-cc0,Table set for a wedding reception,table-setting;signage,https://commons.wikimedia.org/wiki/File:Table_set_for_a_wedding_reception_(1295121).jpg,Percy Benzie Abery,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Table set for a wedding reception by Percy Benzie Abery / CC0 1.0,no,yes,yes,page_verified,2026-08-25,Historical composition reference; not a modern product example
photo-table-modern,Table setting 2013,table-setting;signage,https://commons.wikimedia.org/wiki/File:Table_setting%2C_2013.jpg,Didriks,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,Table setting 2013 by Didriks / CC BY 2.0,no,yes,yes,page_verified,2026-08-25,Modern place-setting composition reference
photo-table-setting,Table Setting 1 2017-06-18,table-setting;signage,https://commons.wikimedia.org/wiki/File:Table_Setting_1_2017-06-18.jpg,FASTILY,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Table Setting 1 2017-06-18 by FASTILY / CC BY-SA 4.0,yes,yes,yes,page_verified,2026-08-25,Inspiration candidate; derivative output must satisfy ShareAlike
photo-rice-lights,Rice lights converging at an outdoor party,lighting,https://commons.wikimedia.org/wiki/File:Rice_lights_converging_to_a_center_in_a_outdoor_party_decoration.jpg,Subhrajyoti07,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Rice lights converging at an outdoor party by Subhrajyoti07 / CC BY-SA 4.0,yes,yes,yes,page_verified,2026-08-25,Real temporary event-lighting composition reference; installation still requires venue approval
