candidate_id,commons_page_id,title,source_category,source_page_url,original_url,download_url,license,license_url,creator,credit,attribution_required,modifications,image_path,image_sha256,perceptual_hash,pixel_width,pixel_height,visual_venue_review,visual_people_review,rights_review,selection_status,review_notes
commons-venue-0001,480554,"File:A Norse Interior, Shewing French Influence.jpg",Living rooms,"https://commons.wikimedia.org/wiki/File:A_Norse_Interior,_Shewing_French_Influence.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b8/A_Norse_Interior%2C_Shewing_French_Influence.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/b/b8/A_Norse_Interior%2C_Shewing_French_Influence.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,,Frederick Litchfield,http://www.gutenberg.org/etext/12254,false,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0001.jpg,9d707c26a4844a5a713117e6c820c7bc100b550c0a29cfd0b1115ca37c9c0890,0f0dcb709693931f,640,481,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0002,153976335,"File:Function Room, The Downs Club, 2020.jpg",Function rooms,"https://commons.wikimedia.org/wiki/File:Function_Room,_The_Downs_Club,_2020.jpg",https://upload.wikimedia.org/wikipedia/commons/2/28/Function_Room%2C_The_Downs_Club%2C_2020.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/2/28/Function_Room%2C_The_Downs_Club%2C_2020.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Heritage branch staff, Queensland Government","The Downs Club, Queensland Heritage Register https://apps.des.qld.gov.au/heritage-register/detail/?id=650257",true,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0002.jpg,511b94d16b8fa1f639a1a7f339694a7e4a47bda73a94f214dfb4c116923e3f49,f8e0e4f8b4dcf0f2,640,480,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0003,65361903,File:196 Pope's meeting room.jpg,Meeting rooms,https://commons.wikimedia.org/wiki/File:196_Pope%27s_meeting_room.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/196_Pope%27s_meeting_room.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/196_Pope%27s_meeting_room.jpg/500px-196_Pope%27s_meeting_room.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Czaich Á. Gilbert és Fráter Aladár . Budapest 1907,book: Pius X. pápa. Pius pápa életének és uralkodásának története napjainkig. Budapest 1907,false,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0003.jpg,1968256cad8b3c5ce0f1c70329ea54c638cc908238b6bacd1be90252b775ca01,4ce0121656973333,500,408,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0004,20433353,File:2012-06-Stasimuseum Berlin Tagungsraum 01 anagoria.JPG,Conference rooms,https://commons.wikimedia.org/wiki/File:2012-06-Stasimuseum_Berlin_Tagungsraum_01_anagoria.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4e/2012-06-Stasimuseum_Berlin_Tagungsraum_01_anagoria.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/2012-06-Stasimuseum_Berlin_Tagungsraum_01_anagoria.JPG/500px-2012-06-Stasimuseum_Berlin_Tagungsraum_01_anagoria.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Anagoria,Own work,true,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0004.jpg,7307d52b72ff96d045ec525ee072470bc3080ba5a7fe87caf5cd6009616b4391,00071394cc498180,500,333,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0005,178332446,File:'t Aygems Cafeetje - binnen (Q134888692).jpg,Interiors of restaurants,https://commons.wikimedia.org/wiki/File:%27t_Aygems_Cafeetje_-_binnen_(Q134888692).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c0/%27t_Aygems_Cafeetje_-_binnen_%28Q134888692%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/%27t_Aygems_Cafeetje_-_binnen_%28Q134888692%29.jpg/500px-%27t_Aygems_Cafeetje_-_binnen_%28Q134888692%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,JanV1962,Own work,true,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0005.jpg,3206ea7250ffcb36c398c2c78785a86b3d0a3f6c1af8c34580b03ff6e6c83505,8bc3ccada9b971f9,500,333,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0006,150956585,File:1934-02 OBRAS 07.jpg,Assembly halls,https://commons.wikimedia.org/wiki/File:1934-02_OBRAS_07.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/1934-02_OBRAS_07.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/1934-02_OBRAS_07.jpg/500px-1934-02_OBRAS_07.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Unknown author Unknown author,Obras. Revista de la construcción,false,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0006.jpg,e4428143fc2e2cc26a2714cc0ce4c45da2283af2428a5ede25acba8095c3e876,60fc5c58581e7040,500,322,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0007,2485431,File:Bedlewo institute.JPG,Convention centers,https://commons.wikimedia.org/wiki/File:Bedlewo_institute.JPG,https://upload.wikimedia.org/wikipedia/commons/f/ff/Bedlewo_institute.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bedlewo_institute.JPG/500px-Bedlewo_institute.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Staecker,Own work,false,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0007.jpg,c92e37d63b85585817c573a96d1569ddc3cebbca46cae38638799f0d12c7d5d5,e1491baeeef2b93a,500,375,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0008,16773060,File:AKB48 theater interior.jpg,Foyers,https://commons.wikimedia.org/wiki/File:AKB48_theater_interior.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/AKB48_theater_interior.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/AKB48_theater_interior.jpg/500px-AKB48_theater_interior.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Karl Baron from Malmö, Sweden",天国,true,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0008.jpg,30903d39526576c3b52c3d21a47834b583cf2feaaf20d602662e56ff6b428d21,c3e46db0e5e4e490,500,375,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0009,3260299,File:Expodroom.jpg,Exhibition halls,https://commons.wikimedia.org/wiki/File:Expodroom.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Expodroom.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Expodroom.jpg/500px-Expodroom.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0 be,https://creativecommons.org/licenses/by/2.0/be/deed.en,TTI nv,The original uploader was SuzyMalter at Dutch Wikipedia .,true,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0009.jpg,eb4818769bc8fbf3a0f943163b918dfbbd7a3f61992a521a56efbe28acdb5502,f1ff3f3f2e0e6ce0,480,640,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0010,480567,File:A Sixteenth Century Room.jpg,Living rooms,https://commons.wikimedia.org/wiki/File:A_Sixteenth_Century_Room.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/A_Sixteenth_Century_Room.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/6/63/A_Sixteenth_Century_Room.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,,Unknown,Wikimedia Commons,false,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0010.jpg,649358b3c01dfa316e052ad64a1707fdd3683766b7859051183446051a750d64,dcb9b08ae0e1e0f0,640,552,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0011,86480107,File:Emergenza coronavirus (49468823973).jpg,Meeting rooms,https://commons.wikimedia.org/wiki/File:Emergenza_coronavirus_(49468823973).jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Emergenza_coronavirus_%2849468823973%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Emergenza_coronavirus_%2849468823973%29.jpg/500px-Emergenza_coronavirus_%2849468823973%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Dipartimento Protezione Civile from Italia,Emergenza coronavirus,true,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0011.jpg,c59c8a0399d5159c0ada64b18e4cf09ef21ff63b8623c05575db68386c2a1da1,15eba8b03370b961,500,333,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0012,19971991,File:2012-0609-ParkInn-SkylightRoom.jpg,Conference rooms,https://commons.wikimedia.org/wiki/File:2012-0609-ParkInn-SkylightRoom.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/2012-0609-ParkInn-SkylightRoom.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/2012-0609-ParkInn-SkylightRoom.jpg/500px-2012-0609-ParkInn-SkylightRoom.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Bobak Ha'Eri,Own work,true,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0012.jpg,55931e3b9f44fa1c464c11ae8ae0467abcf862b83e1e8b3e399396a9fd1f6d4a,5efae7ebba8dcbab,500,375,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
commons-venue-0013,178332583,File:'t Aygems Cafeetje - binnen 2 (Q134888692).jpg,Interiors of restaurants,https://commons.wikimedia.org/wiki/File:%27t_Aygems_Cafeetje_-_binnen_2_(Q134888692).jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/%27t_Aygems_Cafeetje_-_binnen_2_%28Q134888692%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/%27t_Aygems_Cafeetje_-_binnen_2_%28Q134888692%29.jpg/500px-%27t_Aygems_Cafeetje_-_binnen_2_%28Q134888692%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,JanV1962,Own work,true,resized to maximum 640 px; converted to RGB JPEG; EXIF removed,../raw/real_v2/images/commons-venue-0013.jpg,406e9669a196f95d0ff36be7deb11fade9476ae3d44b57aa5024cca2ab9461ea,ceced871c88ce7d1,500,333,pending,pending,metadata_screen_passed_manual_review_pending,candidate_not_for_training,
