rule_id,space_type,event_types,photo_cues,recommended_placement,min_walkway_cm,backdrop_clearance_cm,traffic_rule,lighting_rule,confidence_blockers
placement-01,home-living-room,birthday;baby-shower;engagement,"visible empty wall, nearby power outlet, normal ceiling",place cake table centered on the cleanest wall with backdrop behind,90,100,avoid door swing and main seating path,side key light at 30-45 degrees,missing wall width;blocked exit;direct radiator
placement-02,banquet-hall,wedding;engagement;corporate,"large focal wall or stage, high ceiling, formal tables",use a centered stage or focal wall; keep service route behind or beside guest tables,120,150,minimum 120 cm public aisle; follow venue code,two soft front lights plus warm backdrop wash,unknown stage load;unknown ceiling rigging;emergency exit behind setup
placement-03,garden,wedding;birthday;mehndi,"level ground, shade options, weather exposure",place on level hard surface under cover; orient backdrop away from strongest wind,120,150,use weighted bases outside walking route,diffused daylight;avoid direct afternoon sun on cake,wind;rain;uneven ground;no cover
placement-04,rooftop,birthday;engagement;corporate,"open skyline, wind exposure, limited anchors",use low-profile weighted decor and keep cake within sheltered zone,150,180,"keep clear of railings, exits, and service doors",sunset light plus battery LEDs,high wind;unprotected edge;temperature extremes
placement-05,poolside,birthday;wedding;summer-party,"water edge, reflective surface, humid air",place cake on non-slip dry deck at least 2 m from water,200,120,keep 120 cm dry path and barriers for children,soft shade;avoid reflected midday glare,splash zone;slippery deck;no shade
placement-06,office,corporate;product-launch,"brand wall, reception route, screens, cables",place brand and cake/display zone where visible from entrance but outside check-in queue,100,100,protect accessibility and employee circulation,neutral brand-accurate lighting,confidential screens;blocked reception;unmanaged cables
placement-07,cafe-restaurant,birthday;bridal-shower;anniversary,"fixed tables, narrow aisles, service traffic","use compact backdrop and cake stand beside reserved table, not in server path",75,80,preserve staff service access and accessible aisle,use window light plus small battery lamp,fire exit;server route;unstable small table
placement-08,studio-loft,birthday;corporate;industrial-wedding,"open floor, brick or concrete wall, tall windows",create one strong focal wall and leave architecture visible,120,120,define photo queue outside main aisle,warm side light;control harsh window backlight,unsecured freestanding frame;echoing dark corners
placement-09,marquee,wedding;mehndi;corporate,"fabric walls, modular floor, service entrances",use weighted freestanding structures; never rely on tent fabric as load support,120,150,keep tent exits and catering access fully clear,warm LEDs mounted only by approved vendor,unknown floor level;unapproved hanging;heater proximity
placement-10,school-hall,kids-birthday;graduation;school-event,"large open floor, sports markings, wall bars",use low stable props and a clearly bounded photo/cake area,120,120,separate active play from cake and decor,bright even lighting;no strobe,unsecured sports equipment;small loose parts;blocked fire door
placement-11,beach,wedding;birthday;summer-party,"sand, wind, sun, salt moisture",use a stable platform and covered cake display; choose low decor,180,150,maintain public access and protect from tide line,early morning or sunset;avoid direct sun,tide;wind;permits;no stable platform
placement-12,unknown-from-single-photo,all,"perspective unclear, no scale object, cropped room",give concept-only placement and request dimensions or a second angle before scale claims,100,100,never infer exact path widths,match visible light direction,no scale reference;hidden exits;single narrow image
