asset_id,related_id,asset_type,glb_file,usdz_file,units,default_dimensions_cm,polygon_budget,texture_guideline,anchor_type,interaction,license_requirement,production_status,fallback
scene-rustic-boho,rustic-boho,decor-scene-bundle,assets/scenes/rustic-boho.glb,assets/scenes/rustic-boho.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-rustic-boho,rustic-boho,cake-variant-set,assets/cakes/rustic-boho.glb,assets/cakes/rustic-boho.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-modern-minimalist,modern-minimalist,decor-scene-bundle,assets/scenes/modern-minimalist.glb,assets/scenes/modern-minimalist.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-modern-minimalist,modern-minimalist,cake-variant-set,assets/cakes/modern-minimalist.glb,assets/cakes/modern-minimalist.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-classic-elegant,classic-elegant,decor-scene-bundle,assets/scenes/classic-elegant.glb,assets/scenes/classic-elegant.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-classic-elegant,classic-elegant,cake-variant-set,assets/cakes/classic-elegant.glb,assets/cakes/classic-elegant.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-tropical,tropical,decor-scene-bundle,assets/scenes/tropical.glb,assets/scenes/tropical.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-tropical,tropical,cake-variant-set,assets/cakes/tropical.glb,assets/cakes/tropical.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-vintage-garden,vintage-garden,decor-scene-bundle,assets/scenes/vintage-garden.glb,assets/scenes/vintage-garden.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-vintage-garden,vintage-garden,cake-variant-set,assets/cakes/vintage-garden.glb,assets/cakes/vintage-garden.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-glam-gold,glam-gold,decor-scene-bundle,assets/scenes/glam-gold.glb,assets/scenes/glam-gold.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-glam-gold,glam-gold,cake-variant-set,assets/cakes/glam-gold.glb,assets/cakes/glam-gold.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-pastel-dreamy,pastel-dreamy,decor-scene-bundle,assets/scenes/pastel-dreamy.glb,assets/scenes/pastel-dreamy.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-pastel-dreamy,pastel-dreamy,cake-variant-set,assets/cakes/pastel-dreamy.glb,assets/cakes/pastel-dreamy.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-dark-moody,dark-moody,decor-scene-bundle,assets/scenes/dark-moody.glb,assets/scenes/dark-moody.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-dark-moody,dark-moody,cake-variant-set,assets/cakes/dark-moody.glb,assets/cakes/dark-moody.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-whimsical-kids,whimsical-kids,decor-scene-bundle,assets/scenes/whimsical-kids.glb,assets/scenes/whimsical-kids.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
