scenario_id,event_type,venue_type,guest_count,room_length_m,room_width_m,room_area_m2,budget_pkr,budget_per_guest_pkr,age_group,time_of_day,preferred_color,preferred_style,theme_label,cake_label,decor_label,layout_label,recommended_servings,labelled_by,confidence,source,review_status,dataset_split,generation_seed,rule_notes
BSAR0001,birthday,hall,211,21.9,13.5,295.7,411000,1948,child,night,blue,minimal,colourful_cartoon,three_tier_luxury,rustic_wood_setup,full_stage_setup,211,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0002,wedding,hall,202,23.2,15,348,1746000,8644,mixed,night,mixed,rustic,rustic_natural,three_tier_luxury,luxury_stage,full_stage_setup,202,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0003,graduation,home,79,12.9,7.1,91.6,225000,2848,mixed,day,purple,elegant,elegant_gold,two_tier_round,balloon_setup,two_side_tables,79,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0004,graduation,restaurant,96,14.3,8.3,118.7,433000,4510,adult,night,gold,minimal,modern_minimal,three_tier_luxury,rustic_wood_setup,two_side_tables,96,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0005,graduation,hall,12,7.5,4,30,88000,7333,teenager,day,mixed,elegant,modern_minimal,single_tier_round,flower_wall,single_cake_table,12,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0006,wedding,hall,20,7.3,5.4,39.4,109000,5450,adult,night,gold,traditional,traditional_luxury,single_tier_round,flower_wall,single_cake_table,20,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0007,birthday,restaurant,57,9.1,7.5,68.3,153000,2684,child,day,green,rustic,rustic_natural,two_tier_round,minimal_backdrop,cake_and_dessert_table,57,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0008,baby_shower,restaurant,8,5.1,3.8,19.4,58000,7250,mixed,day,purple,colourful,pastel_floral,single_tier_round,flower_wall,single_cake_table,8,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0009,birthday,hall,26,7.6,6,45.6,80000,3077,teenager,night,mixed,colourful,colourful_cartoon,single_tier_square,balloon_setup,single_cake_table,26,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0010,birthday,hall,68,12.9,9.2,118.7,531000,7809,child,day,green,rustic,rustic_natural,two_tier_round,luxury_stage,full_stage_setup,68,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0011,anniversary,home,35,7.4,5,37,96000,2743,adult,day,gold,minimal,modern_minimal,single_tier_square,balloon_setup,cake_and_dessert_table,35,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0012,wedding,restaurant,37,9.6,5.6,53.8,213000,5757,adult,night,red,traditional,traditional_luxury,single_tier_square,flower_wall,cake_and_dessert_table,37,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0013,wedding,restaurant,27,9.2,4.9,45.1,278000,10296,mixed,night,green,elegant,rustic_natural,single_tier_square,luxury_stage,full_stage_setup,27,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0014,wedding,home,72,12.4,8,99.2,248000,3444,adult,night,gold,elegant,elegant_gold,two_tier_floral,balloon_setup,two_side_tables,72,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0015,birthday,home,92,11.2,9.5,106.4,173000,1880,teenager,day,white,minimal,modern_minimal,two_tier_floral,balloon_setup,two_side_tables,92,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0016,baby_shower,hall,42,11.6,6.1,70.8,553000,13167,mixed,day,green,rustic,rustic_natural,two_tier_round,luxury_stage,full_stage_setup,42,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,validation,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0017,graduation,home,25,6.4,5.4,34.6,83000,3320,teenager,night,gold,rustic,rustic_natural,single_tier_square,balloon_setup,single_cake_table,25,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
