rule_id,guest_min,guest_max,recommended_configuration,tiers,servings_min,servings_max,best_for,portion_assumption,buffer_rule,validation_required
size-01,1,8,5-inch round,1,8,10,small cutting cake or intimate celebration,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-02,9,14,6-inch round,1,10,15,small birthday or shower,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-03,15,24,8-inch round,1,20,25,home party or small event,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-04,25,35,10-inch round,1,28,38,medium birthday or engagement,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-05,36,50,12-inch round,1,40,56,large single-tier presentation,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-06,30,40,6+8-inch round,2,30,40,small tiered wedding or engagement,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-07,45,60,8+10-inch round,2,48,62,medium tiered event,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-08,60,75,6+8+10-inch round,3,60,75,wedding or formal event,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-09,80,100,8+10+12-inch round,3,90,110,large wedding or corporate event,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-10,110,150,6+8+10+12-inch round,4,115,145,large formal event; consider kitchen backup cake,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-11,150,200,display cake plus sheet cakes,3,150,220,very large event with efficient service,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
size-12,200,400,custom display cake plus pre-portioned kitchen cakes,3,200,450,venue-catered service; bakery and caterer must plan together,"Approximate 1 x 2 inch party/wedding serving; recipe, height, shape, and cutting method change yield.",Add 10% for uncertain attendance or generous portions; add 15% if cake is the main dessert.,"Bakery must validate final yield, structure, transport, venue access, refrigeration, and dietary requirements."
