theme_id,name,event_types,keywords,visual_cues,palette_hex,materials,mood,best_space_fit,lighting,decor_summary,cake_summary,avoid
rustic-boho,Rustic Boho,wedding;engagement;birthday;bridal-shower;baby-shower,pampas;macrame;earthy;wood;neutral,warm timber;woven textures;dried grasses;cream linens;soft amber lights,#F3E7D3;#C9A27E;#9C6B4F;#6F7A55;#FFF8EE,wood;rattan;jute;linen;dried botanicals,"relaxed, natural, handcrafted","garden, terrace, barn-style hall, warm neutral room",warm fairy lights and amber uplighting,Layer natural textures with a simple focal backdrop and low warm lighting.,"Semi-naked buttercream, dried florals, muted earth tones.","neon plastic decor, highly reflective chrome, overcrowded backdrops"
modern-minimalist,Modern Minimalist,wedding;birthday;corporate;engagement;anniversary,clean;monochrome;geometric;simple;architectural,white walls;clean lines;open floor;black accents;uncluttered tables,#FFFFFF;#E7E7E7;#B8B8B8;#1F1F1F;#C8B28A,acrylic;powder-coated metal;matte ceramic;glass;cotton,"clean, calm, contemporary","loft, gallery, modern apartment, corporate venue",neutral white key light with soft wall wash,"Use negative space, restrained shapes, and one strong focal installation.","Smooth matte finish, precise geometry, two or three colors maximum.","busy prints, excessive florals, mixed metallics"
classic-elegant,Classic Elegant,wedding;engagement;anniversary;corporate;formal-dinner,ivory;crystal;formal;timeless;refined,high ceilings;chandeliers;white linens;symmetry;polished floors,#FFFDF7;#E7D8BF;#B59B6A;#7B2331;#3F4C3A,crystal;porcelain;velvet;brass;fresh-look florals,"formal, timeless, graceful","ballroom, banquet hall, hotel, formal dining room",warm chandelier light with soft pin spots,Keep layouts symmetrical with refined florals and controlled metallic accents.,"Tiered ivory cake, piped borders, sugar flowers, subtle gold detail.","casual signage, exposed cables, clashing bright colors"
tropical,Tropical,birthday;wedding;bridal-shower;corporate;summer-party,palms;bright;summer;fruit;greenery,large windows;sunlight;plants;poolside surfaces;bright textiles,#0F6B4F;#58A65C;#FF8A47;#F7C948;#F7F2E8,palm leaves;bamboo;rattan;cotton;acrylic,"lively, fresh, summery","poolside, garden, bright hall, rooftop",daylight or warm sunset tones,"Combine lush leaf shapes, citrus accents, and light natural furniture.","Bright buttercream, painted leaves, edible tropical fruit or flowers.","heavy winter fabrics, dark gothic props, overloaded novelty fruit"
vintage-garden,Vintage Garden,wedding;bridal-shower;baby-shower;birthday;tea-party,garden;tea;lace;antique;soft floral,garden greenery;patio;floral wallpaper;vintage furniture;soft daylight,#F6E4E8;#D8C8A8;#A9B99A;#7C8A6A;#FFF9F0,lace;china;aged brass;wood;soft florals,"nostalgic, delicate, romantic","garden, veranda, conservatory, light room",soft daylight and warm table lamps,Use mismatched vintage-look pieces in a controlled soft palette.,"Pastel buttercream, delicate piping, small sugar flowers.","industrial neon, sharp black graphics, plastic tableware"
glam-gold,Glam Gold,birthday;engagement;wedding;anniversary;corporate-gala,gold;luxury;sparkle;mirror;dramatic,glossy floors;mirrors;dark walls;spotlights;high ceilings,#D4AF37;#F8F1E1;#111111;#7D1F3A;#FFFFFF,metallic acrylic;mirror;velvet;sequins;glass,"luxurious, celebratory, high-impact","banquet hall, hotel, evening venue, dark studio",warm spotlights with controlled sparkle,Balance reflective gold with matte dark or ivory surfaces.,"Metallic gold accents, polished tiers, bold contrast.","mixing silver and rose gold randomly, uncontrolled glitter, harsh overhead light"
pastel-dreamy,Pastel Dreamy,birthday;baby-shower;bridal-shower;engagement;graduation,pastel;cloudlike;soft;lavender;peach,light walls;soft daylight;rounded furniture;white curtains;small room,#F8C8DC;#CDB4F6;#BDE7F2;#FFF0B8;#FFFFFF,matte balloons;tulle;acrylic;soft fabric;paper,"gentle, cheerful, dreamy","home, studio, cafe, light hall",diffused daylight or soft white LEDs,Use rounded forms and gradual color transitions instead of dense multicolor clutter.,"Pastel ombre, soft piping, clouds, bows, or delicate sugar spheres.","muddy colors, strong black accents, overfilled balloon walls"
dark-moody,Dark Moody,birthday;wedding;anniversary;corporate;dinner-party,black;plum;dramatic;candlelight;velvet,dark walls;brick;night setting;low light;deep-colored furniture,#121212;#3C1F2B;#5E4634;#7A6A58;#D0B58D,velvet;smoked glass;dark wood;brass;matte metal,"dramatic, intimate, sophisticated","evening hall, brick venue, dining room, studio",low warm pools of light;never fully dark,"Use layered dark tones, warm candlelight, and limited brass highlights.",Charcoal or plum finish with textured buttercream and restrained metallic detail.,"unsafe open flames, pure black food coloring overload, unlit walkways"
whimsical-kids,Whimsical Kids,kids-birthday;school-event;family-party,playful;storybook;rounded;colorful;friendly,playroom;open floor;bright walls;child-height furniture;daylight,#FFB3C6;#9AD0F5;#FFE08A;#A7E3A1;#FFFFFF,foam board;matte balloons;washable fabric;paper;acrylic,"playful, friendly, imaginative","home, play area, school hall, cafe",bright even light without flashing effects,"Use friendly rounded shapes, readable signs, and child-safe floor layouts.","Bright buttercream, simple characters or shapes, age-appropriate topper.","small loose parts for toddlers, sharp props, scary imagery"
beach-coastal,Beach Coastal,wedding;birthday;engagement;bridal-shower;summer-party,coastal;sand;blue;shell;linen,sea view;blue walls;sunlight;light wood;open-air terrace,#EAF6FA;#8EC5D6;#2F6F89;#E8D5B5;#FFFFFF,linen;driftwood-look wood;glass;rope;ceramic,"fresh, airy, relaxed","beach, terrace, bright room, poolside",natural daylight with warm sunset accent,Use sea-glass colors and light textures without turning the setup into a costume theme.,"Watercolor blue, sand-texture crumbs, subtle shells or waves.","real fragile shells in food, wet sand near food, nautical clutter"
