decor_id,theme_id,event_types,category,item_name,description,indoor_outdoor,space_requirement,placement_zone,quantity_rule,color_options,material,rental_or_purchase,safety_notes,ar_asset_key,search_terms
rustic-boho-decor-01,rustic-boho,wedding;engagement;birthday;bridal-shower;baby-shower,backdrop,Macrame cotton backdrop panel,Macrame cotton backdrop panel selected in the Rustic Boho palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#F3E7D3;#C9A27E;#9C6B4F;#6F7A55;#FFF8EE,wood;rattan;jute;linen;dried botanicals,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/rustic-boho/backdrop-01,Macrame cotton backdrop panel;Rustic Boho;event decor;party rental
rustic-boho-decor-02,rustic-boho,wedding;engagement;birthday;bridal-shower;baby-shower,floor-arrangement,Pampas and dried-grass floor arrangement,Pampas and dried-grass floor arrangement selected in the Rustic Boho palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#F3E7D3;#C9A27E;#9C6B4F;#6F7A55;#FFF8EE,wood;rattan;jute;linen;dried botanicals,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/rustic-boho/floor-arrangement-01,Pampas and dried-grass floor arrangement;Rustic Boho;event decor;party rental
rustic-boho-decor-03,rustic-boho,wedding;engagement;birthday;bridal-shower;baby-shower,lighting,Natural rattan lantern set with LED candles,Natural rattan lantern set with LED candles selected in the Rustic Boho palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#F3E7D3;#C9A27E;#9C6B4F;#6F7A55;#FFF8EE,wood;rattan;jute;linen;dried botanicals,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/rustic-boho/lighting-01,Natural rattan lantern set with LED candles;Rustic Boho;event decor;party rental
rustic-boho-decor-04,rustic-boho,wedding;engagement;birthday;bridal-shower;baby-shower,table-setting,Jute table runners with cream napkins,Jute table runners with cream napkins selected in the Rustic Boho palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#F3E7D3;#C9A27E;#9C6B4F;#6F7A55;#FFF8EE,wood;rattan;jute;linen;dried botanicals,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/rustic-boho/table-setting-01,Jute table runners with cream napkins;Rustic Boho;event decor;party rental
rustic-boho-decor-05,rustic-boho,wedding;engagement;birthday;bridal-shower;baby-shower,signage,Wooden welcome sign on easel,Wooden welcome sign on easel selected in the Rustic Boho palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#F3E7D3;#C9A27E;#9C6B4F;#6F7A55;#FFF8EE,wood;rattan;jute;linen;dried botanicals,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/rustic-boho/signage-01,Wooden welcome sign on easel;Rustic Boho;event decor;party rental
modern-minimalist-decor-01,modern-minimalist,wedding;birthday;corporate;engagement;anniversary,backdrop,Matte white modular arch backdrop,Matte white modular arch backdrop selected in the Modern Minimalist palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#FFFFFF;#E7E7E7;#B8B8B8;#1F1F1F;#C8B28A,acrylic;powder-coated metal;matte ceramic;glass;cotton,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/modern-minimalist/backdrop-01,Matte white modular arch backdrop;Modern Minimalist;event decor;party rental
modern-minimalist-decor-02,modern-minimalist,wedding;birthday;corporate;engagement;anniversary,floor-arrangement,Black metal pedestal plinth set,Black metal pedestal plinth set selected in the Modern Minimalist palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#FFFFFF;#E7E7E7;#B8B8B8;#1F1F1F;#C8B28A,acrylic;powder-coated metal;matte ceramic;glass;cotton,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/modern-minimalist/floor-arrangement-01,Black metal pedestal plinth set;Modern Minimalist;event decor;party rental
modern-minimalist-decor-03,modern-minimalist,wedding;birthday;corporate;engagement;anniversary,lighting,Clear acrylic table numbers,Clear acrylic table numbers selected in the Modern Minimalist palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#FFFFFF;#E7E7E7;#B8B8B8;#1F1F1F;#C8B28A,acrylic;powder-coated metal;matte ceramic;glass;cotton,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/modern-minimalist/lighting-01,Clear acrylic table numbers;Modern Minimalist;event decor;party rental
modern-minimalist-decor-04,modern-minimalist,wedding;birthday;corporate;engagement;anniversary,table-setting,White ceramic bud-vase grouping,White ceramic bud-vase grouping selected in the Modern Minimalist palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#FFFFFF;#E7E7E7;#B8B8B8;#1F1F1F;#C8B28A,acrylic;powder-coated metal;matte ceramic;glass;cotton,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/modern-minimalist/table-setting-01,White ceramic bud-vase grouping;Modern Minimalist;event decor;party rental
modern-minimalist-decor-05,modern-minimalist,wedding;birthday;corporate;engagement;anniversary,signage,Linear warm-white LED floor lights,Linear warm-white LED floor lights selected in the Modern Minimalist palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#FFFFFF;#E7E7E7;#B8B8B8;#1F1F1F;#C8B28A,acrylic;powder-coated metal;matte ceramic;glass;cotton,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/modern-minimalist/signage-01,Linear warm-white LED floor lights;Modern Minimalist;event decor;party rental
classic-elegant-decor-01,classic-elegant,wedding;engagement;anniversary;corporate;formal-dinner,backdrop,Ivory draped backdrop with brass frame,Ivory draped backdrop with brass frame selected in the Classic Elegant palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#FFFDF7;#E7D8BF;#B59B6A;#7B2331;#3F4C3A,crystal;porcelain;velvet;brass;fresh-look florals,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/classic-elegant/backdrop-01,Ivory draped backdrop with brass frame;Classic Elegant;event decor;party rental
classic-elegant-decor-02,classic-elegant,wedding;engagement;anniversary;corporate;formal-dinner,floor-arrangement,Crystal-look candleholder set with LED tapers,Crystal-look candleholder set with LED tapers selected in the Classic Elegant palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#FFFDF7;#E7D8BF;#B59B6A;#7B2331;#3F4C3A,crystal;porcelain;velvet;brass;fresh-look florals,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/classic-elegant/floor-arrangement-01,Crystal-look candleholder set with LED tapers;Classic Elegant;event decor;party rental
classic-elegant-decor-03,classic-elegant,wedding;engagement;anniversary;corporate;formal-dinner,lighting,Low white-and-green floral centerpiece,Low white-and-green floral centerpiece selected in the Classic Elegant palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#FFFDF7;#E7D8BF;#B59B6A;#7B2331;#3F4C3A,crystal;porcelain;velvet;brass;fresh-look florals,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/classic-elegant/lighting-01,Low white-and-green floral centerpiece;Classic Elegant;event decor;party rental
classic-elegant-decor-04,classic-elegant,wedding;engagement;anniversary;corporate;formal-dinner,table-setting,Gold-rim charger plate set,Gold-rim charger plate set selected in the Classic Elegant palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#FFFDF7;#E7D8BF;#B59B6A;#7B2331;#3F4C3A,crystal;porcelain;velvet;brass;fresh-look florals,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/classic-elegant/table-setting-01,Gold-rim charger plate set;Classic Elegant;event decor;party rental
classic-elegant-decor-05,classic-elegant,wedding;engagement;anniversary;corporate;formal-dinner,signage,Formal printed place-card holders,Formal printed place-card holders selected in the Classic Elegant palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#FFFDF7;#E7D8BF;#B59B6A;#7B2331;#3F4C3A,crystal;porcelain;velvet;brass;fresh-look florals,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/classic-elegant/signage-01,Formal printed place-card holders;Classic Elegant;event decor;party rental
tropical-decor-01,tropical,birthday;wedding;bridal-shower;corporate;summer-party,backdrop,Artificial monstera and palm-leaf backdrop,Artificial monstera and palm-leaf backdrop selected in the Tropical palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#0F6B4F;#58A65C;#FF8A47;#F7C948;#F7F2E8,palm leaves;bamboo;rattan;cotton;acrylic,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/tropical/backdrop-01,Artificial monstera and palm-leaf backdrop;Tropical;event decor;party rental
tropical-decor-02,tropical,birthday;wedding;bridal-shower;corporate;summer-party,floor-arrangement,Bamboo-look beverage station sign,Bamboo-look beverage station sign selected in the Tropical palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#0F6B4F;#58A65C;#FF8A47;#F7C948;#F7F2E8,palm leaves;bamboo;rattan;cotton;acrylic,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/tropical/floor-arrangement-01,Bamboo-look beverage station sign;Tropical;event decor;party rental
tropical-decor-03,tropical,birthday;wedding;bridal-shower;corporate;summer-party,lighting,Rattan pendant-style battery lanterns,Rattan pendant-style battery lanterns selected in the Tropical palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#0F6B4F;#58A65C;#FF8A47;#F7C948;#F7F2E8,palm leaves;bamboo;rattan;cotton;acrylic,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/tropical/lighting-01,Rattan pendant-style battery lanterns;Tropical;event decor;party rental
