cake_design_id,theme_id,event_types,style_name,shape,suggested_tiers,frosting_or_covering,palette_hex,design_elements,topper_guidance,finish,serving_range,price_tier,allergen_notes,structural_notes,ar_asset_key
rustic-boho-cake-01,rustic-boho,wedding;engagement;birthday;bridal-shower;baby-shower,Semi-naked pampas cake,round,1-3,semi-naked buttercream,#F3E7D3;#C9A27E;#9C6B4F;#6F7A55;#FFF8EE,semi-naked buttercream;food-safe dried-look sugar grasses;wood-look topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/rustic-boho/design-01
rustic-boho-cake-02,rustic-boho,wedding;engagement;birthday;bridal-shower;baby-shower,Terracotta arch cake,arch,1-2,matte buttercream,#F3E7D3;#C9A27E;#9C6B4F;#6F7A55;#FFF8EE,matte buttercream;terracotta and cream blocks;minimal gold leaf,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/rustic-boho/design-02
rustic-boho-cake-03,rustic-boho,wedding;engagement;birthday;bridal-shower;baby-shower,Pressed-flower boho cake,round,1-3,ivory buttercream,#F3E7D3;#C9A27E;#9C6B4F;#6F7A55;#FFF8EE,ivory buttercream;edible pressed flowers;twine-look fondant band,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/rustic-boho/design-03
modern-minimalist-cake-01,modern-minimalist,wedding;birthday;corporate;engagement;anniversary,Monochrome line cake,round,1-3,white matte buttercream,#FFFFFF;#E7E7E7;#B8B8B8;#1F1F1F;#C8B28A,white matte buttercream;thin black linework;acrylic topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/modern-minimalist/design-01
modern-minimalist-cake-02,modern-minimalist,wedding;birthday;corporate;engagement;anniversary,Geometric block cake,square,1-2,sharp fondant edges,#FFFFFF;#E7E7E7;#B8B8B8;#1F1F1F;#C8B28A,sharp fondant edges;neutral color blocks;minimal sugar spheres,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/modern-minimalist/design-02
modern-minimalist-cake-03,modern-minimalist,wedding;birthday;corporate;engagement;anniversary,Minimal stone-texture cake,round,1-3,soft grey buttercream,#FFFFFF;#E7E7E7;#B8B8B8;#1F1F1F;#C8B28A,soft grey buttercream;subtle stone texture;single sugar orchid,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/modern-minimalist/design-03
classic-elegant-cake-01,classic-elegant,wedding;engagement;anniversary;corporate;formal-dinner,Ivory pearl wedding cake,round,1-3,smooth ivory fondant,#FFFDF7;#E7D8BF;#B59B6A;#7B2331;#3F4C3A,smooth ivory fondant;edible pearls;piped borders,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/classic-elegant/design-01
classic-elegant-cake-02,classic-elegant,wedding;engagement;anniversary;corporate;formal-dinner,Burgundy rose tier cake,round,1-2,ivory buttercream,#FFFDF7;#E7D8BF;#B59B6A;#7B2331;#3F4C3A,ivory buttercream;deep red sugar roses;gold separator,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/classic-elegant/design-02
classic-elegant-cake-03,classic-elegant,wedding;engagement;anniversary;corporate;formal-dinner,Classic lace cake,round,1-3,white fondant,#FFFDF7;#E7D8BF;#B59B6A;#7B2331;#3F4C3A,white fondant;royal-icing lace;monogram topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/classic-elegant/design-03
tropical-cake-01,tropical,birthday;wedding;bridal-shower;corporate;summer-party,Palm-leaf painted cake,round,1-3,white buttercream,#0F6B4F;#58A65C;#FF8A47;#F7C948;#F7F2E8,white buttercream;painted green leaves;orange accents,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/tropical/design-01
