event_type_id,name,audience,core_zones,design_priorities,cake_portion_rule,safety_and_cultural_notes
birthday,Birthday,all ages,cake table;photo backdrop;guest seating;gift table,theme match;name/age personalization;photo moment,0.75-1 standard cake serving,keep candles supervised;maintain clear walkways
kids-birthday,Kids Birthday,children and families,child-height activities;cake table;photo zone;adult seating,age-safe decor;bright colors;easy cleanup,0.5-0.75 standard serving,avoid small loose parts;secure tall props;avoid flashing lights
wedding,Wedding,couple and guests,stage or ceremony focal area;cake table;guest tables;entrance,formal coordination;visibility;photography;service flow,1 standard wedding serving,verify stage and hanging loads;protect exits;confirm floral food safety
engagement,Engagement,"couple, family, friends",couple backdrop;cake table;guest seating;entrance,coordinated color story;comfortable family photos,0.75-1 standard serving,keep ring/cake table supervised;use LED candles near fabric
baby-shower,Baby Shower,family and friends,gift table;cake table;seating;activity area,soft theme;clear signage;comfortable seating,0.75 standard serving,avoid unsafe reveal devices;keep food labels visible
bridal-shower,Bridal Shower,friends and family,brunch table;cake table;photo backdrop;gift area,elegant details;conversation-friendly layout,0.75 standard serving,avoid tall centerpieces that block conversation
corporate,Corporate Event,"employees, clients, guests",registration;stage;brand wall;refreshments,brand accuracy;accessibility;traffic flow,0.5-0.75 standard serving,use approved logos;protect confidential material;meet venue rules
graduation,Graduation,"graduate, family, friends",photo wall;cake table;gift/card table;seating,school colors;name/year personalization,0.75 standard serving,confirm logo permissions;secure cap and sign props
anniversary,Anniversary,couple and guests,memory display;cake table;dining;photo area,personal history;refined mood;age-appropriate access,0.75-1 standard serving,protect original photos;avoid open flames near displays
product-launch,Product Launch,"media, clients, team",product plinth;brand wall;demo area;refreshments,product visibility;brand consistency;camera sightlines,0.5 standard serving,do not reveal confidential details;manage cables and queues
mehndi,Mehndi / Mayun,"couple, family, friends",stage;dholki area;floor seating;food service,vibrant textiles;family participation;photo stage,0.75 standard serving,keep fabric away from heat;preserve performance and service paths
nikah,Nikah / Formal South Asian Ceremony,"couple, witnesses, family",ceremony area;couple seating;guest seating;cake table,dignified palette;clear ceremony sightline;family access,0.75-1 standard serving,do not use sacred text as disposable decor;keep ceremony route clear
