assignment_id,reviewer_slot,scenario_id,event_type,venue_type,guest_count,room_length_m,room_width_m,budget_pkr,age_group,time_of_day,preferred_color,preferred_style,current_theme_label,current_cake_label,current_decor_label,current_layout_label,expert_theme_label,expert_cake_label,expert_decor_label,expert_layout_label,expert_confidence,expert_role,expert_id,review_decision,comments,reviewed_at_utc
BSAR0033-R1,1,BSAR0033,wedding,restaurant,86,10.7,9.1,214000,adult,night,white,colourful,pastel_floral,two_tier_round,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0033-R2,2,BSAR0033,wedding,restaurant,86,10.7,9.1,214000,adult,night,white,colourful,pastel_floral,two_tier_round,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0069-R1,1,BSAR0069,wedding,home,95,13.6,7.6,341000,mixed,night,white,colourful,pastel_floral,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0069-R2,2,BSAR0069,wedding,home,95,13.6,7.6,341000,mixed,night,white,colourful,pastel_floral,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0081-R1,1,BSAR0081,baby_shower,home,86,11.4,9.4,124000,mixed,day,white,colourful,pastel_floral,two_tier_round,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0081-R2,2,BSAR0081,baby_shower,home,86,11.4,9.4,124000,mixed,day,white,colourful,pastel_floral,two_tier_round,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0111-R1,1,BSAR0111,anniversary,restaurant,11,7.3,4.2,46000,adult,day,white,traditional,pastel_floral,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0111-R2,2,BSAR0111,anniversary,restaurant,11,7.3,4.2,46000,adult,day,white,traditional,pastel_floral,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0130-R1,1,BSAR0130,wedding,home,105,10.8,8.4,507000,adult,day,white,minimal,pastel_floral,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0130-R2,2,BSAR0130,wedding,home,105,10.8,8.4,507000,adult,day,white,minimal,pastel_floral,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0143-R1,1,BSAR0143,baby_shower,outdoor,20,8.4,6,59000,adult,night,white,elegant,pastel_floral,single_tier_square,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0143-R2,2,BSAR0143,baby_shower,outdoor,20,8.4,6,59000,adult,night,white,elegant,pastel_floral,single_tier_square,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0160-R1,1,BSAR0160,baby_shower,outdoor,37,10.7,8.2,130000,adult,night,white,elegant,pastel_floral,single_tier_square,balloon_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0160-R2,2,BSAR0160,baby_shower,outdoor,37,10.7,8.2,130000,adult,night,white,elegant,pastel_floral,single_tier_square,balloon_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0205-R1,1,BSAR0205,baby_shower,outdoor,91,16.2,9.5,310000,adult,day,mixed,elegant,pastel_floral,two_tier_floral,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0205-R2,2,BSAR0205,baby_shower,outdoor,91,16.2,9.5,310000,adult,day,mixed,elegant,pastel_floral,two_tier_floral,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0226-R1,1,BSAR0226,baby_shower,home,250,19.1,15.3,496000,adult,day,mixed,minimal,pastel_floral,three_tier_luxury,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0226-R2,2,BSAR0226,baby_shower,home,250,19.1,15.3,496000,adult,day,mixed,minimal,pastel_floral,three_tier_luxury,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0231-R1,1,BSAR0231,anniversary,outdoor,61,14.1,7.6,478000,adult,day,pink,minimal,pastel_floral,two_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0231-R2,2,BSAR0231,anniversary,outdoor,61,14.1,7.6,478000,adult,day,pink,minimal,pastel_floral,two_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0237-R1,1,BSAR0237,baby_shower,hall,29,8.3,6.2,129000,adult,day,pink,minimal,pastel_floral,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
BSAR0237-R2,2,BSAR0237,baby_shower,hall,29,8.3,6.2,129000,adult,day,pink,minimal,pastel_floral,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
BSAR0243-R1,1,BSAR0243,graduation,hall,80,14.8,8.4,375000,teenager,day,purple,elegant,pastel_floral,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0243-R2,2,BSAR0243,graduation,hall,80,14.8,8.4,375000,teenager,day,purple,elegant,pastel_floral,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0273-R1,1,BSAR0273,birthday,hall,28,8.6,6.4,455000,teenager,night,pink,elegant,pastel_floral,single_tier_square,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0273-R2,2,BSAR0273,birthday,hall,28,8.6,6.4,455000,teenager,night,pink,elegant,pastel_floral,single_tier_square,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0276-R1,1,BSAR0276,birthday,restaurant,113,14.3,11.3,600000,teenager,night,pink,colourful,pastel_floral,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0276-R2,2,BSAR0276,birthday,restaurant,113,14.3,11.3,600000,teenager,night,pink,colourful,pastel_floral,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0333-R1,1,BSAR0333,birthday,hall,81,14,7.7,233000,child,night,pink,traditional,pastel_floral,two_tier_round,flower_wall,two_side_tables,,,,,,,,,,
BSAR0333-R2,2,BSAR0333,birthday,hall,81,14,7.7,233000,child,night,pink,traditional,pastel_floral,two_tier_round,flower_wall,two_side_tables,,,,,,,,,,
BSAR0346-R1,1,BSAR0346,baby_shower,restaurant,108,13.6,9,219000,mixed,night,pink,elegant,pastel_floral,three_tier_luxury,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0346-R2,2,BSAR0346,baby_shower,restaurant,108,13.6,9,219000,mixed,night,pink,elegant,pastel_floral,three_tier_luxury,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0363-R1,1,BSAR0363,baby_shower,restaurant,103,12.2,10.5,274000,adult,night,white,colourful,pastel_floral,two_tier_floral,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0363-R2,2,BSAR0363,baby_shower,restaurant,103,12.2,10.5,274000,adult,night,white,colourful,pastel_floral,two_tier_floral,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0371-R1,1,BSAR0371,baby_shower,hall,158,17.5,12.9,469000,adult,day,pink,elegant,pastel_floral,three_tier_luxury,rustic_wood_setup,full_stage_setup,,,,,,,,,,
BSAR0371-R2,2,BSAR0371,baby_shower,hall,158,17.5,12.9,469000,adult,day,pink,elegant,pastel_floral,three_tier_luxury,rustic_wood_setup,full_stage_setup,,,,,,,,,,
BSAR0409-R1,1,BSAR0409,birthday,hall,22,9.3,5.8,82000,child,day,mixed,rustic,pastel_floral,single_tier_square,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0409-R2,2,BSAR0409,birthday,hall,22,9.3,5.8,82000,child,day,mixed,rustic,pastel_floral,single_tier_square,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0457-R1,1,BSAR0457,anniversary,hall,45,12.1,7.6,92000,adult,night,pink,rustic,pastel_floral,two_tier_round,balloon_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0457-R2,2,BSAR0457,anniversary,hall,45,12.1,7.6,92000,adult,night,pink,rustic,pastel_floral,two_tier_round,balloon_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0035-R1,1,BSAR0035,graduation,restaurant,61,10.1,6.6,715000,adult,night,mixed,minimal,modern_minimal,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0035-R2,2,BSAR0035,graduation,restaurant,61,10.1,6.6,715000,adult,night,mixed,minimal,modern_minimal,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0044-R1,1,BSAR0044,graduation,restaurant,39,9,7.9,155000,teenager,day,mixed,minimal,modern_minimal,two_tier_round,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0044-R2,2,BSAR0044,graduation,restaurant,39,9,7.9,155000,teenager,day,mixed,minimal,modern_minimal,two_tier_round,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0079-R1,1,BSAR0079,baby_shower,outdoor,30,9,6.6,199000,adult,day,white,minimal,modern_minimal,single_tier_square,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0079-R2,2,BSAR0079,baby_shower,outdoor,30,9,6.6,199000,adult,day,white,minimal,modern_minimal,single_tier_square,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0148-R1,1,BSAR0148,graduation,restaurant,47,8.8,6.9,143000,teenager,day,gold,minimal,modern_minimal,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0148-R2,2,BSAR0148,graduation,restaurant,47,8.8,6.9,143000,teenager,day,gold,minimal,modern_minimal,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0210-R1,1,BSAR0210,graduation,hall,117,14.9,10,630000,adult,night,white,minimal,modern_minimal,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0210-R2,2,BSAR0210,graduation,hall,117,14.9,10,630000,adult,night,white,minimal,modern_minimal,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0244-R1,1,BSAR0244,baby_shower,hall,105,14.3,9.5,1040000,adult,day,gold,minimal,modern_minimal,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0244-R2,2,BSAR0244,baby_shower,hall,105,14.3,9.5,1040000,adult,day,gold,minimal,modern_minimal,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0286-R1,1,BSAR0286,birthday,home,105,12.5,8.2,188000,child,day,white,minimal,modern_minimal,two_tier_floral,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0286-R2,2,BSAR0286,birthday,home,105,12.5,8.2,188000,child,day,white,minimal,modern_minimal,two_tier_floral,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0299-R1,1,BSAR0299,graduation,outdoor,111,17,10.5,483000,adult,day,white,elegant,modern_minimal,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0299-R2,2,BSAR0299,graduation,outdoor,111,17,10.5,483000,adult,day,white,elegant,modern_minimal,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0325-R1,1,BSAR0325,anniversary,home,240,19.7,11.3,672000,adult,night,white,elegant,modern_minimal,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0325-R2,2,BSAR0325,anniversary,home,240,19.7,11.3,672000,adult,night,white,elegant,modern_minimal,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0338-R1,1,BSAR0338,wedding,outdoor,37,11.3,7,220000,mixed,day,white,minimal,modern_minimal,single_tier_square,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0338-R2,2,BSAR0338,wedding,outdoor,37,11.3,7,220000,mixed,day,white,minimal,modern_minimal,single_tier_square,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0352-R1,1,BSAR0352,birthday,restaurant,34,7.6,6.5,132000,teenager,night,white,minimal,modern_minimal,single_tier_square,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0352-R2,2,BSAR0352,birthday,restaurant,34,7.6,6.5,132000,teenager,night,white,minimal,modern_minimal,single_tier_square,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0372-R1,1,BSAR0372,baby_shower,outdoor,85,15.7,11.4,327000,adult,day,green,elegant,modern_minimal,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0372-R2,2,BSAR0372,baby_shower,outdoor,85,15.7,11.4,327000,adult,day,green,elegant,modern_minimal,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0388-R1,1,BSAR0388,anniversary,outdoor,28,8.5,7.1,118000,mixed,day,mixed,minimal,modern_minimal,single_tier_square,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0388-R2,2,BSAR0388,anniversary,outdoor,28,8.5,7.1,118000,mixed,day,mixed,minimal,modern_minimal,single_tier_square,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0392-R1,1,BSAR0392,birthday,home,108,11.7,8.4,397000,child,day,green,minimal,modern_minimal,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0392-R2,2,BSAR0392,birthday,home,108,11.7,8.4,397000,child,day,green,minimal,modern_minimal,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0452-R1,1,BSAR0452,graduation,home,21,6.3,4.9,122000,teenager,day,gold,minimal,modern_minimal,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
BSAR0452-R2,2,BSAR0452,graduation,home,21,6.3,4.9,122000,teenager,day,gold,minimal,modern_minimal,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
BSAR0456-R1,1,BSAR0456,anniversary,hall,59,11.2,9.4,111000,adult,day,green,minimal,modern_minimal,two_tier_round,balloon_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0456-R2,2,BSAR0456,anniversary,hall,59,11.2,9.4,111000,adult,day,green,minimal,modern_minimal,two_tier_round,balloon_setup,cake_and_dessert_table,,,,,,,,,,
