source_id,publisher,offer_title,url,region,currency,observed_price_min,observed_price_max,dimension_note,observed_at,evidence_type,usage_note
market-stage-flowerbouquet,Flower Bouquet Pakistan,Customized wedding stage or arch setup,https://flowerbouquet.pk/pages/wedding-arch-rental-pakistan-islamabad,Islamabad Pakistan,PKR,120000,120000,Package dimensions depend on venue,2026-08-25,direct_vendor_package,Market observation only; request a current written quotation
market-birthday-lahoreblooms,Lahore Blooms,Complete birthday decoration starting package,https://lahoreblooms.com/birthday-decoration-lahore/,Lahore Pakistan,PKR,7000,7000,Package dimensions depend on room,2026-08-25,direct_vendor_package,Starting-price anchor for small celebration packages
market-room-lahoreblooms,Lahore Blooms,Simple wedding room decoration,https://lahoreblooms.com/wedding-room-decoration-price-lahore/,Lahore Pakistan,PKR,6000,8000,Small indoor room package,2026-08-25,direct_vendor_package,Adjacent package anchor; not a quote for an event stage
market-floral-kalee,Kalee.pk,White artificial flower wedding stage decoration,https://kalee.pk/karachi-flower-shop/white-artificial-flowers-wedding-stage-decoration/,Karachi Pakistan,PKR,35000,40000,Stage package; exact dimensions not stated,2026-08-25,direct_vendor_listing,Price observed on vendor page; availability can change
market-arch-daraz,Daraz Pakistan,Metal arch backdrop stand,https://www.daraz.pk/tag/backdrop-arch-stand-for-decor/,Pakistan,PKR,10999,10999,Example listing approximately 9.8 by 9.8 feet,2026-08-25,marketplace_category_observation,Marketplace price is volatile and seller-specific
market-arch-ubuy,Ubuy Pakistan,Gold wedding arch backdrop stand,https://www.ubuy.com.pk/en/product/IJIZJ5M3I-wedding-arch-backdrop-stand-6ft-gold-wedding-balloon-arched-backdrop-stand-square-arch-frame-for-birthday-party-bridal-baby-shower-ceremony-decoration,Pakistan import,PKR,12723,12723,6.6 foot metal frame,2026-08-25,direct_marketplace_listing,Import duties and delivery may be extra
market-flowers-daraz,Daraz Pakistan,Wedding flower decoration components,https://www.daraz.pk/tag/wedding-flowers-decoration/,Pakistan,PKR,149,499,Individual artificial floral components,2026-08-25,marketplace_category_observation,Component prices are not installed decoration prices
market-fairy-daraz,Daraz Pakistan,Fairy and string lights,https://www.daraz.pk/tag/jugnu-light-price/,Pakistan,PKR,140,662,Example 10 to 20 foot LED strings,2026-08-25,marketplace_category_observation,Electrical rating and indoor-outdoor approval must be checked per item
market-outdoor-lights-daraz,Daraz Pakistan,Outdoor string lighting,https://www.daraz.pk/outdoor-lighting/,Pakistan,PKR,531,531,Example 5 metre USB LED string,2026-08-25,marketplace_category_observation,Use only products rated for the actual environment
market-acrylic-weddingwhizz,Wedding Whizz,Custom translucent acrylic welcome board,https://weddingwhizz.co/products/acrylic-welcome-board,Pakistan,PKR,4800,4800,2 by 2 feet and 3 mm acrylic; stand excluded,2026-08-25,direct_vendor_listing,Observed product price; stand and delivery may cost extra
market-signs-framers,The Framers Pakistan,Wedding and engagement welcome boards,https://theframers.pk/product-category/welcome-boards/,Pakistan,PKR,4490,12990,Multiple board styles and sizes,2026-08-25,direct_vendor_category,Category range; confirm chosen material size and stand
market-runner-hutch,Hutch.pk,Pakistan table runner price overview,https://hutch.pk/blogs/home-decor-ideas/table-runner-brands-in-pakistan,Pakistan,PKR,500,2000,Typical home and event runner products,2026-08-25,retail_market_overview,Planning anchor only; commercial event quantities cost more
