source_id,asset_type,title,provider,source_url,license,license_verified,redistribution_allowed,ai_generated,preferred_format,known_scale_or_extent,triangle_or_object_count,primary_bakesmart_use,event_tags,collection_status,download_method,notes
ph-ceramic-vase-01,model,Ceramic Vase 01,Poly Haven,https://polyhaven.com/a/ceramic_vase_01,CC0-1.0,true,true,false,gltf,0.4m tall,3K tris,floral vessel and centerpiece base,birthday;wedding;baby_shower,approved_source,polyhaven_api,High-quality PBR model; convert and measure exact XYZ bounds before production mapping.
ph-brass-vase-02,model,Brass Vase 02,Poly Haven,https://polyhaven.com/a/brass_vase_02,CC0-1.0,true,true,false,gltf,0.5m tall,7K tris,brass-look floral vessel,wedding;south_asian_mehndi;engagement,approved_source,polyhaven_api,Useful for Mehndi and wedding clusters; preserve source textures.
ph-brass-vase-03,model,Brass Vase 03,Poly Haven,https://polyhaven.com/a/brass_vase_03,CC0-1.0,true,true,false,gltf,0.2m tall,3K tris,small brass vessel and table decor,wedding;south_asian_mehndi;engagement,approved_source,polyhaven_api,Good tabletop/support-scale prop.
ph-brass-pan-01,model,Brass Pan 01,Poly Haven,https://polyhaven.com/a/brass_pan_01,CC0-1.0,true,true,false,gltf,0.4m wide,4K tris,brass-look tray and low table decor,south_asian_mehndi;wedding,approved_source,polyhaven_api,Use as tray/pedestal component after visual review.
ph-brass-pot-01,model,Brass Pot 01,Poly Haven,https://polyhaven.com/a/brass_pot_01,CC0-1.0,true,true,false,gltf,0.3m wide,4K tris,brass-look vessel,south_asian_mehndi;wedding,approved_source,polyhaven_api,Useful as modular cultural decor component.
oga-balloons-pack,model_pack,Balloons,OpenGameArt,https://opengameart.org/content/balloons-2,CC0-1.0,true,true,false,glb,53 objects,24840 tris reported,balloon letters numbers flowers ribbons and cluster building,birthday;kids_birthday;anniversary;corporate,approved_source,manual_download,Contains GLB package and 1K creator-made textures; strong source for many birthday variants.
oga-etagere-3,model,Etagere 3,OpenGameArt,https://opengameart.org/content/etagere-3,CC0-1.0,true,true,false,gltf,not stated,1296 polygons / 1352 vertices,dessert buffet and candy display,wedding;birthday;baby_shower;corporate,approved_source,manual_download,PBR textures and UVs listed; validate dimensions before use.
oga-medieval-candles,model_pack,Medieval Candles,OpenGameArt,https://opengameart.org/content/medieval-candles,CC0-1.0,true,true,false,blend,not stated,1872 tris,LED-candle geometry reference and candle clusters,wedding;south_asian_mehndi;anniversary,approved_source,manual_download,Geometry can be adapted into safe non-flame LED-candle assets.
oga-lowpoly-table-chair,model_pack,Low Poly Table and Chair,OpenGameArt,https://opengameart.org/content/low-poly-table-and-chair,CC0-1.0,true,true,false,fbx,not stated,chair 196 tris; table 68 tris,event table and chair blocking,birthday;wedding;corporate;baby_shower,approved_source,manual_download,Very low-poly; good LOD2 or measurement/blocking source rather than hero render.
oga-tables-chairs-ultimate,model_pack,3D Tables and Chairs Ultimate Asset Pack,OpenGameArt,https://opengameart.org/content/3d-tables-and-chairs-ultimate-asset-pack,CC0-1.0,true,true,false,gltf,40 models,20 tables + 20 chairs,event seating and table variations,birthday;wedding;corporate;baby_shower,approved_source,manual_download,High-value breadth source for room-filling furniture variants.
oga-wood-furnitures-2,model_pack,Wood Furnitures 2,OpenGameArt,https://opengameart.org/content/wood-furnitures-2,CC0-1.0,true,true,false,gltf,54 objects,14406 tris reported,tables chairs shelves decorative pillars,rustic_birthday;wedding;corporate,approved_source,manual_download,Single trim-sheet material; useful for optimized mobile LOD assets.
pp-arch-kay-lousberg,model,Arch,Poly Pizza,https://poly.pizza/m/uS8wgBVxOL,CC0-1.0,true,true,false,gltf,not stated,862 tris shown,structural arch module,wedding;birthday;engagement,approved_source,manual_download,Plain structural arch only; decorate with separate approved floral/balloon modules.
pp-arch-creativetrio,model,Arch,Poly Pizza,https://poly.pizza/m/UNjhI7hudt,CC0-1.0,true,true,false,gltf,not stated,782 tris shown,alternate structural arch module,wedding;birthday;engagement,approved_source,manual_download,Alternative low-poly arch for comparison and LOD experiments.
ph-fabric-pattern-05,pbr_material,Fabric Pattern 05,Poly Haven,https://polyhaven.com/a/fabric_pattern_05,CC0-1.0,true,true,false,pbr_maps,0.5m physical width,8K source,drape and textile material reference,wedding;birthday;south_asian_mehndi,approved_source,polyhaven_api,Use lower 1K/2K derivatives for mobile runtime; recolor only within physically plausible material workflow.
ph-terlenka,pbr_material,Terlenka,Poly Haven,https://polyhaven.com/a/terlenka,CC0-1.0,true,true,false,pbr_maps,0.3m physical height,8K source,soft synthetic fabric and drape material,wedding;birthday;corporate,approved_source,polyhaven_api,Useful for neutral drapery and panel textiles.
ph-fine-grained-wood,pbr_material,Fine Grained Wood,Poly Haven,https://polyhaven.com/a/fine_grained_wood,CC0-1.0,true,true,false,pbr_maps,0.6m physical width,8K source,table pedestal and signage wood,wedding;birthday;corporate,approved_source,polyhaven_api,Good finished dark wood base.
ph-wood-table,pbr_material,Wood Table,Poly Haven,https://polyhaven.com/a/wood_table,CC0-1.0,true,true,false,pbr_maps,1.0m physical width,8K source,rustic table and pedestal surface,rustic_birthday;wedding;corporate,approved_source,polyhaven_api,Use for real table surfaces and event pedestals.
ph-plywood,pbr_material,Plywood,Poly Haven,https://polyhaven.com/a/plywood,CC0-1.0,true,true,false,pbr_maps,0.5m physical width,8K source,painted board substrate and signage,birthday;corporate;baby_shower,approved_source,polyhaven_api,Useful source material before painted/printed finish authoring.
ph-painted-metal-shutter,pbr_material,Painted Metal Shutter,Poly Haven,https://polyhaven.com/a/painted_metal_shutter,CC0-1.0,true,true,false,pbr_maps,2.0m physical width,8K source,painted metal roughness/normal reference,industrial;corporate,approved_source,polyhaven_api,Weathered source; mainly a material-response reference rather than a final elegant-event finish.
ph-warm-reception-dinner,hdri,Warm Reception Dinner,Poly Haven,https://polyhaven.com/a/warm_reception_dinner,CC0-1.0,true,true,false,hdr,20K source,15 EVs,wedding/banquet renderer lighting,wedding;engagement;anniversary,approved_source,polyhaven_api,Excellent warm banquet lighting environment; create 1K/2K runtime derivative.
ph-events-hall-interior,hdri,Events Hall Interior,Poly Haven,https://polyhaven.com/a/events_hall_interior,CC0-1.0,true,true,false,hdr,20K source,12 EVs,large hall renderer lighting,corporate;wedding;birthday,approved_source,polyhaven_api,Large event hall lighting reference with high ceiling.
ph-studio-small-01,hdri,Studio Small 01,Poly Haven,https://polyhaven.com/a/studio_small_01,CC0-1.0,true,true,false,hdr,16K source,12 EVs,neutral asset lookdev and QA,all,approved_source,polyhaven_api,Use for consistent material/asset review renders.
ph-music-hall-02,hdri,Music Hall 02,Poly Haven,https://polyhaven.com/a/music_hall_02,CC0-1.0,true,true,false,hdr,16K source,15 EVs,elegant indoor mixed-light testing,wedding;engagement;anniversary,approved_source,polyhaven_api,Useful alternate indoor environment with warm/cool mixed lighting.
ph-school-hall,hdri,School Hall,Poly Haven,https://polyhaven.com/a/school_hall,CC0-1.0,true,true,false,hdr,24K source,12 EVs,stage/hall scale testing,birthday;corporate;kids_birthday,approved_source,polyhaven_api,Useful for stage-like room scale and floor reflection tests.
