generation_id,prompt_index,provider,model,generated_at,generated_at_precision,prompt,review
gemini-venue-0001,1,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0002,2,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0003,3,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0004,4,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0005,5,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0006,6,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0007,7,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0008,8,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0009,9,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0010,10,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0011,11,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
gemini-venue-0012,12,Google AI Studio,Nano Banana 2 Lite / gemini-3.1-flash-lite-image,2026-08-19,date,,ai_prescreen_pass_human_pending
