scene_id,split,seed,label_source,review_status,production_approved
venue-synthetic-0001,train,1420940,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0002,train,2359953,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0003,train,586920,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0004,train,3624068,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0005,train,9606002,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0006,train,7792536,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0007,train,1691656,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0008,train,639592,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0009,train,6306470,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0010,train,1176620,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0011,train,9544171,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0012,train,2168639,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0013,train,6020862,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0014,train,4650467,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0015,train,8094011,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0016,train,6381542,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0017,train,3207133,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0018,train,1141555,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0019,train,5265325,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0020,train,7169344,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0021,train,5165485,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0022,train,31511,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0023,train,491969,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0024,train,4130186,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0025,train,6492968,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0026,train,2607091,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0027,train,608872,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0028,train,3218283,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0029,train,6928001,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0030,train,751433,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0031,train,3849936,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0032,train,5793682,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0033,train,3683107,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0034,train,6354596,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0035,train,3629849,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0036,train,8783445,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0037,train,3335091,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0038,train,3125292,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0039,train,3998456,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0040,train,1856115,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0041,train,3585734,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0042,train,3571408,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0043,train,4701671,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0044,train,1227319,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0045,train,4789932,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0046,train,4928637,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0047,train,3802984,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0048,train,5557434,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0049,train,571674,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0050,train,6781431,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0051,train,6273157,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0052,train,6210587,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0053,train,9962651,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0054,train,3499743,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0055,train,9255606,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0056,train,4234067,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0057,train,3763096,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0058,train,5135865,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0059,train,6090355,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0060,train,418678,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0061,train,6092589,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0062,train,4670022,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0063,train,7812224,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0064,train,9870923,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0065,train,3220108,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0066,train,9269010,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0067,train,4069330,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0068,train,1199376,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0069,train,3066740,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0070,train,6508103,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
venue-synthetic-0071,train,5653258,deterministic_synthetic_geometry_v1,synthetic_bootstrap_only,false
