source_id,asset_type,title,provider,source_url,license,license_verified,redistribution_allowed,ai_generated,preferred_format,known_scale_or_extent,triangle_or_object_count,primary_bakesmart_use,event_tags,collection_status,download_method,notes
ph-ceramic-vase-02,model,Ceramic Vase 02,Poly Haven,https://polyhaven.com/a/ceramic_vase_02,CC0-1.0,true,true,false,gltf,0.3m tall,3K tris,modern floral vessel and centerpiece base,birthday;wedding;baby_shower,approved_source,polyhaven_api,Useful clean mid-size vessel after scale and material review.
ph-ceramic-vase-03,model,Ceramic Vase 03,Poly Haven,https://polyhaven.com/a/ceramic_vase_03,CC0-1.0,true,true,false,gltf,0.4m tall,3K tris,tall floral vessel and display prop,wedding;engagement;corporate,approved_source,polyhaven_api,Rectangular tall vase gives shape variety to centerpiece clusters.
ph-ceramic-vase-04,model,Ceramic Vase 04,Poly Haven,https://polyhaven.com/a/ceramic_vase_04,CC0-1.0,true,true,false,gltf,0.3m tall,2K tris,small modern vessel and table decor,birthday;wedding;baby_shower,approved_source,polyhaven_api,Low triangle count makes this promising for mobile hero or LOD1 use.
ph-brass-vase-01,model,Brass Vase 01,Poly Haven,https://polyhaven.com/a/brass_vase_01,CC0-1.0,true,true,false,gltf,0.7m tall,21K tris,tall brass floral vessel and stage support,wedding;south_asian_mehndi;engagement,approved_source,polyhaven_api,Strong cultural and elegant event prop; optimize LODs before runtime.
ph-potted-plant-01,model,Potted Plant 01,Poly Haven,https://polyhaven.com/a/potted_plant_01,CC0-1.0,true,true,false,gltf,1.4m tall,96K tris,large greenery floor support,wedding;corporate;birthday,approved_source,polyhaven_api,High poly source with LOD work required; good realistic greenery reference.
ph-potted-plant-02,model,Potted Plant 02,Poly Haven,https://polyhaven.com/a/potted_plant_02,CC0-1.0,true,true,false,gltf,0.8m tall,70K tris,medium greenery support,wedding;corporate;baby_shower,approved_source,polyhaven_api,Requires substantial optimization but gives realistic leafy variation.
ph-potted-plant-04,model,Potted Plant 04,Poly Haven,https://polyhaven.com/a/potted_plant_04,CC0-1.0,true,true,false,gltf,0.3m tall,6K tris,small table greenery and succulent prop,corporate;birthday;baby_shower,approved_source,polyhaven_api,Good compact decor candidate with manageable geometry.
ph-flower-gazania,model,Flower Gazania,Poly Haven,https://polyhaven.com/a/flower_gazania,CC0-1.0,true,true,false,gltf,1.6m wide,26K tris,floral cluster source for bouquet authoring,wedding;birthday;south_asian_mehndi,approved_source,polyhaven_api,Use as flower geometry source and author smaller modular clusters rather than use the entire patch as one event prop.
ph-flower-empodium,model,Flower Empodium,Poly Haven,https://polyhaven.com/a/flower_empodium,CC0-1.0,true,true,false,gltf,1.3m wide,6K tris,yellow floral cluster source,south_asian_mehndi;birthday;wedding,approved_source,polyhaven_api,Useful color and petal source for yellow flower groupings; still needs event-specific composition.
ph-shrub-sorrel-01,model,Shrub Sorrel 01,Poly Haven,https://polyhaven.com/a/shrub_sorrel_01,CC0-1.0,true,true,false,gltf,0.4m wide,3K tris,small floral greenery filler,wedding;birthday;baby_shower,approved_source,polyhaven_api,Excellent low-cost filler geometry for arrangements after cleanup.
ph-shrub-03,model,Shrub 03,Poly Haven,https://polyhaven.com/a/shrub_03,CC0-1.0,true,true,false,gltf,1.4m wide,17K tris,greenery filler and floor cluster,wedding;corporate;birthday,approved_source,polyhaven_api,Use lower LOD or author event arrangement variants from foliage source.
ph-ornate-mirror-01,model,Ornate Mirror 01,Poly Haven,https://polyhaven.com/a/ornate_mirror_01,CC0-1.0,true,true,false,gltf,0.7m tall,14K tris,ornate mirror welcome sign and vintage decor,wedding;engagement;anniversary,approved_source,polyhaven_api,Useful base for mirror welcome signage after replacing reflective/art text surface in BakeSmart authoring.
ph-chandelier-01,model,Chandelier 01,Poly Haven,https://polyhaven.com/a/Chandelier_01,CC0-1.0,true,true,false,gltf,0.8m wide,27K tris,elegant hanging lighting,wedding;engagement;anniversary,approved_source,polyhaven_api,Hero hanging fixture source; require overhead placement and clearance review.
ph-chandelier-02,model,Chandelier 02,Poly Haven,https://polyhaven.com/a/Chandelier_02,CC0-1.0,true,true,false,gltf,0.8m tall,22K tris,elegant hanging lighting,wedding;engagement;anniversary,approved_source,polyhaven_api,Second chandelier shape for visual variety.
ph-chandelier-03,model,Chandelier 03,Poly Haven,https://polyhaven.com/a/Chandelier_03,CC0-1.0,true,true,false,gltf,1.0m tall,29K tris,ornate brass crystal-look lighting,wedding;engagement;anniversary,approved_source,polyhaven_api,Good premium slice fixture after mobile optimization.
ph-lantern-chandelier-01,model,Lantern Chandelier 01,Poly Haven,https://polyhaven.com/a/lantern_chandelier_01,CC0-1.0,true,true,false,gltf,0.9m tall,6K tris,hanging lantern-style lighting,wedding;south_asian_mehndi;rustic_birthday,approved_source,polyhaven_api,Low triangle source with warm traditional visual language.
ph-modern-ceiling-lamp-01,model,Modern Ceiling Lamp 01,Poly Haven,https://polyhaven.com/a/modern_ceiling_lamp_01,CC0-1.0,true,true,false,gltf,1.0m tall,6K tris,modern pendant lighting,corporate;birthday;engagement,approved_source,polyhaven_api,Useful clean modern fixture after anchor and emissive setup.
ph-outdoor-table-chair-set-01,model,Outdoor Table Chair Set 01,Poly Haven,https://polyhaven.com/a/outdoor_table_chair_set_01,CC0-1.0,true,true,false,gltf,1.8m wide,10K tris,outdoor event seating and table reference,birthday;corporate;engagement,approved_source,polyhaven_api,Useful for outdoor setup planning and scale reference.
ph-wooden-stool-01,model,Wooden Stool 01,Poly Haven,https://polyhaven.com/a/wooden_stool_01,CC0-1.0,true,true,false,gltf,0.4m wide,11K tris,small pedestal stool and rustic support,rustic_birthday;wedding;corporate,approved_source,polyhaven_api,May be repurposed as small decor support after author review.
ph-standing-picture-frame-01,model,Standing Picture Frame 01,Poly Haven,https://polyhaven.com/a/standing_picture_frame_01,CC0-1.0,true,true,false,gltf,0.2m tall,2K tris,table number and small framed sign base,wedding;corporate;birthday,approved_source,polyhaven_api,Compact low-poly frame suitable for table signage adaptation.
pp-column-round-quaternius,model,Column Round,Poly Pizza,https://poly.pizza/m/n8ZvVFcJhl,CC0-1.0,true,true,false,gltf,not stated,513 tris shown,pedestal plinth and column support,wedding;birthday;engagement;corporate,approved_source,manual_download,Simple clean CC0 column useful for pedestal authoring; exact dimensions must be established locally.
pp-potted-plant-kenney,model,Potted Plant,Poly Pizza,https://poly.pizza/m/23Dx9CC95C,CC0-1.0,true,true,false,gltf,not stated,534 tris shown,low-poly floral/plant filler,birthday;kids_birthday;corporate,approved_source,manual_download,Very lightweight foliage option for lower-end devices or distant LOD.
pp-lantern-kay,model,Lantern,Poly Pizza,https://poly.pizza/m/CtHBJ1ufeW,CC0-1.0,true,true,false,gltf,not stated,901 tris shown,decorative lantern and warm light prop,south_asian_mehndi;wedding;rustic_birthday,approved_source,manual_download,Good lightweight lantern candidate; author emissive bulb/material locally.
pp-flower-group-quaternius,model,Flower Group,Poly Pizza,https://poly.pizza/m/LqTljN6Wg2,CC0-1.0,true,true,false,gltf,not stated,442 tris shown,low-poly flower group source,birthday;kids_birthday;south_asian_mehndi,approved_source,manual_download,Useful mobile floral filler and clustering source.
pp-flower-single-quaternius,model,Flower Single,Poly Pizza,https://poly.pizza/m/GvfHo0roi3,CC0-1.0,true,true,false,gltf,not stated,397 tris shown,single flower module,birthday;kids_birthday;south_asian_mehndi,approved_source,manual_download,Single flower unit can be instanced into garlands and centerpieces.
pp-flower-a-isa,model,Flower A,Poly Pizza,https://poly.pizza/m/DG7oCt9QYv,CC0-1.0,true,true,false,gltf,not stated,214 tris shown,single blossom variation,birthday;baby_shower;wedding,approved_source,manual_download,Very lightweight second blossom form for modular clusters.
pp-wooden-sign-ipoly3d,model,Wooden Sign,Poly Pizza,https://poly.pizza/m/jNdZygn3uR,CC0-1.0,true,true,false,gltf,not stated,413 tris shown,welcome sign and directional board base,rustic_birthday;wedding;corporate,approved_source,manual_download,Replace artwork/text locally with event-specific content.
pp-signpost-kenney,model,Signpost,Poly Pizza,https://poly.pizza/m/3U2lj1gpeH,CC0-1.0,true,true,false,gltf,not stated,233 tris shown,directional signage set base,wedding;corporate;birthday,approved_source,manual_download,Good lightweight directional sign source.
pp-tent-frame-kenney,model,Tent Frame,Poly Pizza,https://poly.pizza/m/NBUHcJckRV,CC0-1.0,true,true,false,gltf,not stated,224 tris shown,lightweight structural frame and canopy skeleton,outdoor_birthday;wedding;corporate,approved_source,manual_download,Useful as authoring reference for pergola/canopy structures; never assume source dimensions.
pp-market-stand-quaternius,model,Market Stand,Poly Pizza,https://poly.pizza/m/hts7l0NZxW,CC0-1.0,true,true,false,gltf,not stated,763 tris shown,dessert stand booth and rustic display,rustic_birthday;corporate;kids_birthday,approved_source,manual_download,Can become dessert booth or favor display after cleanup and true-size authoring.
kenney-furniture-kit,model_pack,Furniture Kit,Kenney,https://kenney.nl/assets/furniture-kit,CC0-1.0,true,true,false,multi_format,140 files,140 files,event furniture breadth and mobile LOD sources,birthday;wedding;corporate;baby_shower,approved_source,manual_download,Large CC0 pack for tables chairs sofas cabinets and blocking variants; review individual files before promotion.
kenney-nature-kit,model_pack,Nature Kit,Kenney,https://kenney.nl/assets/nature-kit,CC0-1.0,true,true,false,multi_format,330 files,330 files,foliage rocks trees and greenery variation,outdoor_birthday;wedding;kids_birthday,approved_source,manual_download,Broad low-poly nature source useful for outdoor and lower-end-device greenery variants.
kenney-holiday-kit,model_pack,Holiday Kit,Kenney,https://kenney.nl/assets/holiday-kit,CC0-1.0,true,true,false,multi_format,100 files,100 files,winter and festive prop variations,winter_wonderland;kids_birthday;corporate,approved_source,manual_download,Good seasonal source; only relevant individual assets should enter production.
