asset_id,catalog_id,name,category,glb_path,blend_source_path,width_m,depth_m,height_m,anchor_type,scaling_policy,repeat_axis,min_uniform_scale,max_uniform_scale,collision_padding_m,material_profile_id,lod0_triangle_budget,lod1_triangle_budget,lod2_triangle_budget,texture_max_px,source_license_status,redistribution_allowed,production_status
prod-backdrop-round-arch,backdrop-round-arch,Round metal arch with removable fabric,backdrop,app/assets/production/backdrop-round-arch.glb,assets/production_sources/backdrop-round-arch.blend,2.00,0.55,2.20,wall_floor_center,fixed_true_size,none,0.98,1.02,0.02,mat-painted-metal,40000,18000,6000,2048,pending_rights_review,false,planned
prod-backdrop-chiara-panels,backdrop-chiara-panels,Three-piece curved panel backdrop,backdrop,app/assets/production/backdrop-chiara-panels.glb,assets/production_sources/backdrop-chiara-panels.blend,2.60,0.65,2.20,wall_floor_center,modular_cluster,x,0.98,1.02,0.02,mat-painted-board,45000,20000,7000,2048,pending_rights_review,false,planned
prod-backdrop-balloon-garland,backdrop-balloon-garland,Balloon garland with compact photo wall,backdrop,app/assets/production/backdrop-balloon-garland.glb,assets/production_sources/backdrop-balloon-garland.blend,2.20,0.55,2.10,wall_floor_center,modular_cluster,x,0.98,1.02,0.02,mat-balloon-latex,50000,22000,8000,2048,pending_rights_review,false,planned
prod-backdrop-floral-arch,backdrop-floral-arch,Full artificial floral ceremony arch,backdrop,app/assets/production/backdrop-floral-arch.glb,assets/production_sources/backdrop-floral-arch.blend,2.80,0.90,2.50,wall_floor_center,modular_cluster,x,0.98,1.02,0.02,mat-artificial-floral,60000,26000,9000,2048,pending_rights_review,false,planned
prod-backdrop-south-asian-stage,backdrop-south-asian-stage,Layered South Asian stage with panels and drape,backdrop,app/assets/production/backdrop-south-asian-stage.glb,assets/production_sources/backdrop-south-asian-stage.blend,5.00,1.80,3.00,wall_floor_center,modular_cluster,x,0.98,1.02,0.02,mat-fabric-matte,80000,35000,12000,2048,pending_rights_review,false,planned
prod-backdrop-brand-wall,backdrop-brand-wall,Modular clean brand or name wall,backdrop,app/assets/production/backdrop-brand-wall.glb,assets/production_sources/backdrop-brand-wall.blend,3.00,0.70,2.40,wall_floor_center,modular_cluster,x,0.98,1.02,0.02,mat-painted-board,45000,20000,7000,2048,pending_rights_review,false,planned
prod-floor-floral-pedestal-pair,floor-floral-pedestal-pair,Artificial floral pedestal pair,floor-arrangement,app/assets/production/floor-floral-pedestal-pair.glb,assets/production_sources/floor-floral-pedestal-pair.blend,0.55,0.55,1.50,floor_center,modular_cluster,x,0.98,1.02,0.02,mat-artificial-floral,24000,10000,3500,2048,pending_rights_review,false,planned
prod-floor-balloon-clusters,floor-balloon-clusters,Weighted balloon floor clusters,floor-arrangement,app/assets/production/floor-balloon-clusters.glb,assets/production_sources/floor-balloon-clusters.blend,0.65,0.65,1.40,floor_center,modular_cluster,x,0.98,1.02,0.02,mat-balloon-latex,22000,9000,3000,2048,pending_rights_review,false,planned
prod-floor-pampas-pair,floor-pampas-pair,Pampas-look dried arrangement pair,floor-arrangement,app/assets/production/floor-pampas-pair.glb,assets/production_sources/floor-pampas-pair.blend,0.60,0.60,1.30,floor_center,modular_cluster,x,0.98,1.02,0.02,mat-dried-stem,22000,9000,3000,2048,pending_rights_review,false,planned
prod-floor-marigold-clusters,floor-marigold-clusters,Marigold-look floral and brass-look floor clusters,floor-arrangement,app/assets/production/floor-marigold-clusters.glb,assets/production_sources/floor-marigold-clusters.blend,0.70,0.70,1.10,floor_center,modular_cluster,x,0.98,1.02,0.02,mat-artificial-floral,26000,11000,3500,2048,cc0_confirmed,true,production_ready
prod-floor-greenery-planters,floor-greenery-planters,Reusable greenery planter set,floor-arrangement,app/assets/production/floor-greenery-planters.glb,assets/production_sources/floor-greenery-planters.blend,0.45,0.45,0.95,floor_center,modular_cluster,x,0.98,1.02,0.02,mat-artificial-greenery,18000,7500,2500,2048,pending_rights_review,false,planned
prod-floor-led-cylinder-set,floor-led-cylinder-set,Floor-safe LED candle cylinder set,floor-arrangement,app/assets/production/floor-led-cylinder-set.glb,assets/production_sources/floor-led-cylinder-set.blend,0.30,0.30,0.75,floor_center,modular_cluster,x,0.98,1.02,0.02,mat-glass-look,16000,6500,2200,2048,pending_rights_review,false,planned
prod-lighting-micro-string,lighting-micro-string,Battery micro string light set,lighting,app/assets/production/lighting-micro-string.glb,assets/production_sources/lighting-micro-string.blend,5.00,0.02,0.02,wall_center,repeat_x,x,0.98,1.02,0.02,mat-led-emissive,12000,5000,1600,2048,pending_rights_review,false,planned
prod-lighting-curtain,lighting-curtain,Fairy-light curtain for focal wall,lighting,app/assets/production/lighting-curtain.glb,assets/production_sources/lighting-curtain.blend,3.00,0.08,2.50,wall_center,repeat_x,x,0.98,1.02,0.02,mat-led-emissive,20000,8000,2800,2048,pending_rights_review,false,planned
prod-lighting-uplight-set,lighting-uplight-set,Static LED uplight set,lighting,app/assets/production/lighting-uplight-set.glb,assets/production_sources/lighting-uplight-set.blend,0.20,0.20,0.25,floor_center,modular_cluster,x,0.98,1.02,0.02,mat-led-emissive,14000,6000,2000,2048,pending_rights_review,false,planned
prod-lighting-led-candles,lighting-led-candles,Battery LED pillar candle set,lighting,app/assets/production/lighting-led-candles.glb,assets/production_sources/lighting-led-candles.blend,0.08,0.08,0.18,surface_center,modular_cluster,x,0.98,1.02,0.02,mat-led-emissive,10000,4000,1400,2048,pending_rights_review,false,planned
prod-lighting-festoon,lighting-festoon,Weather-rated festoon string,lighting,app/assets/production/lighting-festoon.glb,assets/production_sources/lighting-festoon.blend,10.00,0.06,0.06,overhead_center,repeat_x,x,0.98,1.02,0.02,mat-led-emissive,16000,6500,2200,2048,pending_rights_review,false,planned
prod-lighting-star-moon,lighting-star-moon,Star and moon micro-light set,lighting,app/assets/production/lighting-star-moon.glb,assets/production_sources/lighting-star-moon.blend,2.50,0.05,1.80,wall_center,repeat_x,x,0.98,1.02,0.02,mat-led-emissive,18000,7500,2500,2048,pending_rights_review,false,planned
prod-table-neutral-runner,table-neutral-runner,Neutral fabric runner and napkin set,table-setting,app/assets/production/table-neutral-runner.glb,assets/production_sources/table-neutral-runner.blend,2.75,0.35,0.01,surface_center,repeat_x,x,0.98,1.02,0.02,mat-fabric-matte,10000,4000,1200,2048,pending_rights_review,false,planned
prod-table-low-floral,table-low-floral,Low artificial floral centerpiece,table-setting,app/assets/production/table-low-floral.glb,assets/production_sources/table-low-floral.blend,0.45,0.45,0.30,surface_center,fixed_true_size,none,0.98,1.02,0.02,mat-artificial-floral,18000,7500,2500,2048,cc0_confirmed,true,production_ready
prod-table-greenery-garland,table-greenery-garland,Reusable greenery table garland,table-setting,app/assets/production/table-greenery-garland.glb,assets/production_sources/table-greenery-garland.blend,1.80,0.25,0.15,surface_center,repeat_x,x,0.98,1.02,0.02,mat-artificial-greenery,14000,6000,2000,2048,pending_rights_review,false,planned
prod-table-charger-setting,table-charger-setting,Charger plate and napkin styling set,table-setting,app/assets/production/table-charger-setting.glb,assets/production_sources/table-charger-setting.blend,0.35,0.35,0.05,surface_center,modular_cluster,x,0.98,1.02,0.02,mat-acrylic,10000,4000,1200,2048,pending_rights_review,false,planned
prod-table-mehndi-textile,table-mehndi-textile,Mehndi textile and brass-look tray table set,table-setting,app/assets/production/table-mehndi-textile.glb,assets/production_sources/table-mehndi-textile.blend,0.90,0.90,0.35,surface_center,modular_cluster,x,0.98,1.02,0.02,mat-brass-look,18000,7500,2500,2048,pending_rights_review,false,planned
prod-table-dessert-pedestals,table-dessert-pedestals,Dessert and cake pedestal set,table-setting,app/assets/production/table-dessert-pedestals.glb,assets/production_sources/table-dessert-pedestals.blend,0.80,0.50,0.45,surface_center,modular_cluster,x,0.98,1.02,0.02,mat-painted-wood,16000,6500,2200,2048,pending_rights_review,false,planned
prod-sign-acrylic-welcome,sign-acrylic-welcome,Custom 2 by 2 foot acrylic welcome board,signage,app/assets/production/sign-acrylic-welcome.glb,assets/production_sources/sign-acrylic-welcome.blend,0.61,0.03,0.61,floor_center,fixed_true_size,none,0.98,1.02,0.02,mat-acrylic,12000,5000,1600,2048,pending_rights_review,false,planned
prod-sign-foamboard-welcome,sign-foamboard-welcome,Printed foam-board welcome sign with easel,signage,app/assets/production/sign-foamboard-welcome.glb,assets/production_sources/sign-foamboard-welcome.blend,0.60,0.04,0.90,floor_center,fixed_true_size,none,0.98,1.02,0.02,mat-printed-board,12000,5000,1600,2048,pending_rights_review,false,planned
prod-sign-mirror-welcome,sign-mirror-welcome,Arched mirror-look welcome sign,signage,app/assets/production/sign-mirror-welcome.glb,assets/production_sources/sign-mirror-welcome.blend,0.75,0.05,1.50,floor_center,fixed_true_size,none,0.98,1.02,0.02,mat-mirror-look,14000,6000,2000,2048,cc0_confirmed,true,production_ready
prod-sign-directional-set,sign-directional-set,Clear directional and safety-wayfinding sign set,signage,app/assets/production/sign-directional-set.glb,assets/production_sources/sign-directional-set.blend,0.45,0.04,0.60,floor_center,modular_cluster,x,0.98,1.02,0.02,mat-printed-board,10000,4000,1400,2048,pending_rights_review,false,planned
prod-sign-table-numbers,sign-table-numbers,Coordinated table-number set,signage,app/assets/production/sign-table-numbers.glb,assets/production_sources/sign-table-numbers.blend,0.15,0.08,0.22,surface_center,modular_cluster,x,0.98,1.02,0.02,mat-acrylic,8000,3000,1000,2048,pending_rights_review,false,planned
prod-sign-brand-logo,sign-brand-logo,Freestanding event name or approved brand mark,signage,app/assets/production/sign-brand-logo.glb,assets/production_sources/sign-brand-logo.blend,1.80,0.45,1.00,floor_center,fixed_true_size,none,0.98,1.02,0.02,mat-painted-board,20000,8500,2800,2048,pending_rights_review,false,planned
