commons_page_id,title,source_category,source_page_url,original_url,download_url,license,license_url,creator,credit,automated_license_screen,training_status
189047593,File:Banquet Hall Thorbjørnrud Hotell.jpg,Banquet halls,https://commons.wikimedia.org/wiki/File:Banquet_Hall_Thorbj%C3%B8rnrud_Hotell.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Banquet_Hall_Thorbj%C3%B8rnrud_Hotell.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Banquet_Hall_Thorbj%C3%B8rnrud_Hotell.jpg/480px-Banquet_Hall_Thorbj%C3%B8rnrud_Hotell.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,JLunder96,Own work,passed,candidate_not_for_training
194462438,"File:1946-07-01 Hotel Edison Green Room bar, ball room, dining room, chamber A.jpg",Ballrooms,"https://commons.wikimedia.org/wiki/File:1946-07-01_Hotel_Edison_Green_Room_bar,_ball_room,_dining_room,_chamber_A.jpg",https://upload.wikimedia.org/wikipedia/commons/8/89/1946-07-01_Hotel_Edison_Green_Room_bar%2C_ball_room%2C_dining_room%2C_chamber_A.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/1946-07-01_Hotel_Edison_Green_Room_bar%2C_ball_room%2C_dining_room%2C_chamber_A.jpg/480px-1946-07-01_Hotel_Edison_Green_Room_bar%2C_ball_room%2C_dining_room%2C_chamber_A.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Unknown author Unknown author,Personal postcard collection,passed,candidate_not_for_training
33408393,"File:""Grosser Kurfurst,"" dining room, first class, North German Lloyd, Royal Mail Steamers-LCCN2002720838.jpg",Dining rooms,"https://commons.wikimedia.org/wiki/File:%22Grosser_Kurfurst,%22_dining_room,_first_class,_North_German_Lloyd,_Royal_Mail_Steamers-LCCN2002720838.jpg",https://upload.wikimedia.org/wikipedia/commons/7/75/%22Grosser_Kurfurst%2C%22_dining_room%2C_first_class%2C_North_German_Lloyd%2C_Royal_Mail_Steamers-LCCN2002720838.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/%22Grosser_Kurfurst%2C%22_dining_room%2C_first_class%2C_North_German_Lloyd%2C_Royal_Mail_Steamers-LCCN2002720838.jpg/480px-%22Grosser_Kurfurst%2C%22_dining_room%2C_first_class%2C_North_German_Lloyd%2C_Royal_Mail_Steamers-LCCN2002720838.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Unknown,Library of Congress Catalog: http://lccn.loc.gov/2002720838,passed,candidate_not_for_training
480554,"File:A Norse Interior, Shewing French Influence.jpg",Living rooms,"https://commons.wikimedia.org/wiki/File:A_Norse_Interior,_Shewing_French_Influence.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b8/A_Norse_Interior%2C_Shewing_French_Influence.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/b/b8/A_Norse_Interior%2C_Shewing_French_Influence.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,,Frederick Litchfield,http://www.gutenberg.org/etext/12254,passed,candidate_not_for_training
33633858,File:Gfp-room-with-chairs.jpg,Reception rooms,https://commons.wikimedia.org/wiki/File:Gfp-room-with-chairs.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/Gfp-room-with-chairs.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Gfp-room-with-chairs.jpg/480px-Gfp-room-with-chairs.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public Domain,https://web.archive.org/web/20230926203737/https://creativecommons.org/licenses/publicdomain/,Yinan Chen,"www.goodfreephotos.com ( gallery , image )",passed,candidate_not_for_training
153976335,"File:Function Room, The Downs Club, 2020.jpg",Function rooms,"https://commons.wikimedia.org/wiki/File:Function_Room,_The_Downs_Club,_2020.jpg",https://upload.wikimedia.org/wikipedia/commons/2/28/Function_Room%2C_The_Downs_Club%2C_2020.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/2/28/Function_Room%2C_The_Downs_Club%2C_2020.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Heritage branch staff, Queensland Government","The Downs Club, Queensland Heritage Register https://apps.des.qld.gov.au/heritage-register/detail/?id=650257",passed,candidate_not_for_training
54559672,File:ANAインターコンチネンタル万座ビーチリゾート - panoramio.jpg,Wedding venues,https://commons.wikimedia.org/wiki/File:ANA%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%82%B3%E3%83%B3%E3%83%81%E3%83%8D%E3%83%B3%E3%82%BF%E3%83%AB%E4%B8%87%E5%BA%A7%E3%83%93%E3%83%BC%E3%83%81%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/3/31/ANA%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%82%B3%E3%83%B3%E3%83%81%E3%83%8D%E3%83%B3%E3%82%BF%E3%83%AB%E4%B8%87%E5%BA%A7%E3%83%93%E3%83%BC%E3%83%81%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/ANA%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%82%B3%E3%83%B3%E3%83%81%E3%83%8D%E3%83%B3%E3%82%BF%E3%83%AB%E4%B8%87%E5%BA%A7%E3%83%93%E3%83%BC%E3%83%81%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88_-_panoramio.jpg/480px-ANA%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%82%B3%E3%83%B3%E3%83%81%E3%83%8D%E3%83%B3%E3%82%BF%E3%83%AB%E4%B8%87%E5%BA%A7%E3%83%93%E3%83%BC%E3%83%81%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,funk bass,https://web.archive.org/web/20161024104118/http://www.panoramio.com/photo/70479446,passed,candidate_not_for_training
178916175,File:Blue Hill interior.jpg,Event venues,https://commons.wikimedia.org/wiki/File:Blue_Hill_interior.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c8/Blue_Hill_interior.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Blue_Hill_interior.jpg/480px-Blue_Hill_interior.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Bridgetwiki,Own work,passed,candidate_not_for_training
39309316,File:Bucharest - Athenee Palace Hilton lobby 01.jpg,Hotel lobbies,https://commons.wikimedia.org/wiki/File:Bucharest_-_Athenee_Palace_Hilton_lobby_01.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Bucharest_-_Athenee_Palace_Hilton_lobby_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Bucharest_-_Athenee_Palace_Hilton_lobby_01.jpg/480px-Bucharest_-_Athenee_Palace_Hilton_lobby_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Joe Mabel,Photo by Joe Mabel,passed,candidate_not_for_training
7334677,File:2009-0620-Athens.jpg,Community halls,https://commons.wikimedia.org/wiki/File:2009-0620-Athens.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/2009-0620-Athens.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/2009-0620-Athens.jpg/480px-2009-0620-Athens.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Bobak Ha'Eri,Own work,passed,candidate_not_for_training
